id	category	chapter_id	verse_id	question	options	answer
1001	synonym	8	2	तृणधान्यम् कस्य पर्यायः अस्ति	क्षुद्रधान्यम् / धान्यम् / शाकम् / व्रीहिधान्यम्	क्षुद्रधान्यम्
1002	synonym	8	20	कृष्णतण्डुलः कस्य पर्यायः अस्ति ? 	कृष्णः / जतुमुखः / व्रीहि / शालामुखः	शालामुखः
1003	synonym	8	48	वनमुद्गः कस्य पर्यायः ? 	मुद्गः / माषः / क्षुद्रधान्यम् / मकुष्ठकः	मकुष्ठकः
1004	list.type	8		शालिधान्यस्य प्रकाराः के सन्ति		रक्तशालिः + कलमः + पाण्डुकः + शकुनाहृतः + सुगन्धकः + कर्दमकः + महाशालिः + दूषकः + पुष्पाण्डकः + पुण्डरीकः + महिषमस्तकः + दीर्घशूकः + काञ्चनकः + हायनः + लोध्रपुष्पक
1005	count.type	8	1	धान्यस्य कति प्रकाराः उक्ताः		पञ्च
1006	list.type	8	1	धान्यस्य के प्रकाराः उक्ताः		शालिधान्यम् + व्रीहिधान्यम् + शूकधान्यम् + शिम्बिधान्यम् + क्षुद्रधान्यम्
1007	variant	8	20	शालामुखः कस्य प्रकारः अस्ति? 	शालिधान्यम् / व्रीहिधान्यम् / शूकधान्यम् / शिम्बिधान्यम्	व्रीहिधान्यम्
1008	count.variant	8	38	मुद्गस्य कति भेदाः उक्ताः? 		पञ्च
1009	comparison,variant,location	8	20	दग्धमृत्-जात-शाली शाली च अनयोः को भेदः?		शालिः स्निग्धा अस्ति, दग्धमृज्जातशालिः रूक्षा
1010	comparison	8	15	शालिधान्यस्य कः प्रकारः श्रेष्ठः ? 		रक्तशालिः
1011	comparison	8	21	व्रीहिषु कः श्रेष्ठः?		 कृष्णव्रीहि
1012	property	8	17	वार्षिकस्य व्रीहेः वर्णः कः? 		शुक्लः
1013	property	8	21	व्रीहेः विपाकः कः ? 	अम्ल / कटु / मधुर / उष्ण	मधुर
1014	property	8	70	सर्षपस्य प्रभावः कः? 	अलक्ष्मीहर / मंगलकर  / रक्षोहर / ग्रहहर	रक्षोहर
1015	property	14	1	दधेः वीर्यगुणः कः?		उष्णः
1016	property	1	19	कः रसः हरितक्याम् नास्ति ? 		लवणः
1017	count.property	7	40	लौहधातोः कति दोषाः उक्ता? 		 ७
1018	count.property	1	19	हरीतक्याः रसाः कतिपयः ? 		पञ्च
1019	count.property	1	87	धान्यकस्य रसाः कतिपयः 		द्वे
1020	ingredient	11		अधोलिखितेषु नारिकेरः कस्य कृतान्नस्य घटकः अस्ति? 	नारिकेरक्षीरी / ओदन / क्षीरिका / पायस	नारिकेरक्षीरी
1021	ingredient	11	5	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? 	ओदन / दालि / सूप / पोलिका	ओदन
1022	ingredient	11		क्षीरिकायाः घटकाः के? 	अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	अर्धपक्वं शुद्धं दुग्धम् + घृताक्ततण्डुलम्
1023	method.preparation.output	8	53	अङ्गारभृष्टचणकः केन संस्कारेण उत्पद्यते? 	पाचनम् / भर्जनम् / शुष्कभर्जनम् / अङ्गारभर्जनम्	अङ्गारभर्जनम्
1024	method.preparation.output	8	55	चणकसूपः कस्य कृतान्नम् अस्ति	चणकः / मुद्गः / दालिः / शिम्बिधान्यम्	चणकः
1025	method.preparation.output	11	173	यवेषु केन संस्कारेण धाना उत्पद्यते?		भर्जनसंस्कारः
1026	method.preparation	8	54	केन संस्कारेण चणकः बल्यः भवति ? 	आर्द्रभर्जनम् / शुष्कभर्जनम् / स्वेदनम् / पेषणम्	आर्द्रभर्जनम्
1027	method.preparation	11	26	पोलिकायाः उत्पत्तौ के के संस्काराः? 	पाचनम् / वेल्लनम् / चिपिटीकरणम्	पाचनम् + वेल्लनम्
1028	method.preparation	11	61	केन संस्कारेण मुद्गवटकाः त्रिदोषशामकाः भवन्ति ? 	तलन-संस्कारः / वटकीकरण-संस्कारः / घृत-तलन-संस्कारः / तक्र-मज्जन-संस्कारः	तक्र-मज्जन-संस्कारः
1029	consumption.companion	11	27	पोलिकायाः अनुपानं किम् ? 	लप्सिका / घृतम् / दुग्धम् / शर्करा	लप्सिका
1030	consumption.companion	11	68	अलीकमत्स्यस्य अनुखादनं किम् ? 		वृन्ताक-भटित्र / वास्तुक-शाक
1031	location	8	32	महागोधूमस्य उत्पत्तिः कुतः अस्ति? 	पश्चात्-देशः / उत्तरदेशः / मध्यदेशः / दक्षिणदेशः	पश्चात् देशः
1032	location,variant	8	32	मध्यदेशः इति उत्पत्तिस्थानम् कस्य गोधूमस्य?		मधूली
1033	time	11	169	चणकसक्तूनाम् अभ्यवहरणकालः कः? 	वसन्तः / वर्षा / हेमन्तः / ग्रीष्मः	ग्रीष्मः
1034	time	11	170	अधोलिखितेषु कः सक्तूनाम् अभ्यवहरणकालः न अस्ति	निशा / प्रातः / भुक्त / मध्याह्ने	निशा / भुक्त
1035	comparison,property	10	51	केषाम् पक्षिणां मांसं लघुतमं स्यात् 	जले निवसतां पक्षिणाम् / धान्यस्य अंकुरान् चरतां पक्षिणाम् / विष्किरपक्षिणाम् / बिलेशयपक्षिणाम्	धान्यस्य अंकुरान् चरतां पक्षिणां
1036	effect.karma	8	7	वर्चसि शाल्याः किं कर्म? 	बद्धवर्चस् / अल्पवर्चस् / विरेचन / १+२	बद्धवर्चस् + अल्पवर्चस्
1037	effect.karma	8	34	गोधूमस्य कानि कर्माणि दृश्यन्ते 	 सन्धानम् / जीवनम् / बृंहणम् / सर्वाणि	सर्वाणि
1038	effect.karma	8		शिम्बिधान्येषु किं स्तन्यकरम् अस्ति? 	 निष्पाव / मुद्ग / माष / १+३	निष्पाव + माष
1039	effect.karma	8	52	रक्तधातवे चणकस्य किं कर्म? 	रक्तहर / रक्तविकारापह / रक्तप्रकोपक / रक्तदुष्टीकर	रक्तविकारापह
1040	effect.karma	17	4	विशेषेण चक्षुष्यं घृतं कतम्? 	 माहिष / आविक / गव्य / आज	गव्य
1041	effect.karma,variant	1	30	पथ्यायाः केन भेदेन संग्रहणं कर्म दृश्यते ?	 पथ्या / भृष्ट-पथ्या / स्विन्ना पथ्या / चर्विता पथ्या	स्विन्ना पथ्या
1042	source.completion	8	42	मंगल्यको ……. स्यान्मंगल्या च मसूरिका । 	 मुद्गः / मकुष्ठः / माषः / मसूरः	मसूरः
1043	source.completion	11	44	पर्पटास्ते सदा …….. परमरोचकाः। 	 भृष्टाः / अङ्गारभृष्टाः / पाचिताः / तलिताः	अङ्गारभृष्टाः
1044	source.completion	8	40	माषः …….। 	 अनिलापहः / त्रिदोषकारकः / पित्तहरः / कफघ्नः	अनिलापहः
1045	meta.reference	7	168,170	भावप्रकाशः हीरकस्य वर्णनं कस्मिन् वर्गे कृतवान्? 		धातूपधातुरसोपरसरत्नोपरत्नविषोपविषवर्गः / धात्वादिवर्गः
1046	meta.reference	1	203	रसाञ्जनं कस्मिन् वर्गे वर्णितम्? 		हरीतक्यादिवर्गः
1047	meta.reference	8	69	सर्षपस्य वर्णनं कस्मिन् वर्गे स्यात्? 		धान्यवर्गः
1048	comparison,property	8	38	श्यामः मुद्गः कस्मात् लघुः ? 	हरित / पीतक / श्वेत / रक्त	सर्वेभ्यः
1049	comparison,property	8	38	हरितः मुद्गः कस्मात् गुरुः? 	पीतक / श्याम / श्वेत / रक्त	श्याम-मुद्ग
1050	true-false	8	90	किॅ वाक्यं योग्यम् अस्ति? 	पुराणतिलः भद्रतरः नवतिलात् / नवगोधूमः भद्रतरः पुराणगोधूमात् / पुराणयवः भद्रतरः नवयवात् / पुराणमाषः भद्रतरः नवमाषात्	नवगोधूमः भद्रतरः पुराणगोधूमात्
1051	disease-treatment	8	54	कः चणकः कुष्ठव्याधिं वर्धते? 	स्विन्न / शुष्कभृष्ट / आर्द्रभृष्ट / अपक्व	शुष्कभृष्ट
1052	disease-treatment	8	59	त्रिपुटसेवनात् का व्याधि जायते ? 	ज्वरः / खञ्जत्वम् / पङ्गुत्वम् / २+३	खञ्जत्वम् + पङ्गुत्वम्
1053	disease-treatment	8	70	सर्षपसेवनेन का व्याधि वर्धते ? 	रक्तपित्तम् / ज्वरः / अम्लपित्तम् / कृमिः	रक्तपित्तम्
1054	disease-treatment	9	41	अधोलिखितेषु कः शाकः सर्वज्वरहर्ता अस्ति? 	पटोलपत्रम्  / गुडूची  / कासमर्द  / गोजिह्वा	गुडूची
1055	disease-treatment	7	119	पिनाक-अभ्रक-सेवनात् कः रोगः जायते ? 	मधुमेहः / ग्रन्थिः / महाकुष्ठः / मृत्युः	महाकुष्ठः
1056	effect.tridosha	8	70	कफदोषे सर्षपस्य किं कर्म? 		 कफघ्न
1057	effect.tridosha	8	55	स्विन्नचणकविषये किं वाक्यं योग्यम्? 	स्विन्नचणकः पित्तं हन्ति। / स्विन्नचणकः पित्तं वर्धयति। / स्विन्नचणकः कफं हन्ति।	स्विन्नचणकः पित्तं हन्ति। / स्विन्नचणकः कफं हन्ति।
1058	effect.tridosha	9	120	संस्वेदजाः शाकाः कान् दोषान् प्रकोपयन्ति ? 	वातः / पित्तम् / कफः / त्रिदोषम्	त्रिदोषम्
1059	part-of.negation	8	32	शूकः कस्य भागः न वर्तते? 	शालिः / यवः / गोधूमः / दीर्घगोधूमः	दीर्घगोधूमः
1060	part-of.negation	11	169	तुषः कस्य भागः नास्ति? 	भृष्टयव / भृष्टचणक / शालि /निस्तुष चणक।	निस्तुषचणकः
1061	consumption.manner	9	103	कः शाकः अपक्वः शुष्कः च उभयथापि सेवनं निषिद्धं न अस्ति ? 		 मूलक
1062	consumption.manner	1	33	हरीतक्याः केन द्रव्येण सह मिश्रणं पित्तशमनं करोति?	शर्करा / लवण / मधु / घृत	 शर्करा
1063	consumption.manner	1	16	चूर्णकल्पनार्थे का शस्ता ? 	चेतकी / अभया / पूतना / विजया	 चेतकी
1064	quantity,method.preparation	11	137	कुण्डलिनीनाम कृतान्ने अम्लदधेः परिमाणं किम् अस्ति? 	अर्धप्रस्थ / द्विप्रस्थ / प्रस्थ / अर्धशराव	 अर्धप्रस्थ
1065	quantity,method.preparation	11	155	निम्बुफलपानके निम्बुफलापेक्षया शर्करोदकस्य परिमाणं किम्? 	एकभाग / द्विभाग / षड्भाग / अष्टभाग	षड्भाग
1066	consumption.suitability	1	35	कः कः अभयां न खादेत्?		बलवर्जितः / गर्भवतीनारी / पित्ताधिकः / विमुक्तरक्तः / रूक्षः / कृशः / लंघनकर्शितः / अध्वातिखिन्नः
1067	method.preparation,consumption.suitability,time	1	34	मधु-अभययोः संयोगः कस्मिन् ऋतौ शस्तः? 		वसन्तः
1068	property	1	219	अम्लवर्जितः इति कस्य द्रव्यस्य वर्णनं स्यात्?	रसोन / हरीतकी / आमलकी / गुडूची	रसोनम्
1069	part-of,property	1	220	रसोनस्य कः भागः तिक्तरसप्रधानः? 	पत्रम् / मूलम् / बीजम् / नालः	पत्रम्
1	meta.order	1	1	भावप्रकाशननिघण्टौ प्रथमं कस्य वर्गस्य उल्लेखः अस्ति? 		हरीतक्यादि
2	origin	1	5	अमृतपानसमये भगवतः इन्द्रस्य मुखात् पृथिव्यां बिन्दुः पतित्वा किं द्रव्यम् उत्पन्नम् आसीत्? 	गुडूची / अभया / आमलकी / अमृतवल्ली	अभया
4	count.variant	1		हरीतक्याः कति प्रकाराः उक्ताः?		७
5	variant,location	1		हरीतक्याः कः प्रकारः सर्वत्र उपलभ्यते? 	विजया / चेतकी / अभया / रोहिणी	रोहिणी
6	count.property	1		हरीतक्यां कति रसाः वर्तन्ते? 		५
7	variant,property	1	29	उत्तमहरीतक्याः भारः कियान् भवेत्?		२ कर्षः
9	synonym	1	37	बिभीतकस्य पर्यायः कः अस्ति? 	कलिद्रुमः / भूतवासः / कलियुगालयः / सर्वे	सर्वे
10	synonym	1	38	आमलक्याः पर्यायः कः अस्ति? 	वयस्या / वृष्या / जातीफलरसम् / सर्वे	सर्वे
12	source.completion	1	39	"हरीतकीसमं ......रक्तपित्तप्रमेहघ्नं परं वृष्यं रसायनम्। " - एतत् कस्य विषये उक्तम् अस्ति?		आमलक्याः
13	synonym	1	43	वरा कस्य पर्यायः अस्ति? 		त्रिफलायाः
14	synonym	1	44	शुण्ठी कस्य पर्यायः अस्ति? 	विश्वायाः / महौषधस्य / श्रृङ्गवेरस्य / सर्वेषाम्	सर्वेषाम्
15	synonym	1	54	पिप्पली कस्य पर्यायः अस्ति?	कणायाः / वैदेह्याः / तीक्ष्णतण्डुलायाः / सर्वेषाम्	सर्वेषाम्
16	synonym	1	54	पिप्पली कस्य पर्यायः अस्ति? 	मागध्याः / कृष्णायाः / चपलायाः / सर्वेषाम्	सर्वेषाम्
17	synonym	1	59	मरीचः कस्य पर्यायः अस्ति? 	कृष्णस्य / धर्मपतनस्य / वेल्लजस्य / सर्वेषाम्	सर्वेषाम्
18	synonym	1	55	मरीचः कस्य पर्यायः नास्ति? 	कृष्णायाः / ऊषणस्या / कृष्णस्य / वेल्लजस्य	कृष्णायाः
19	synonym	1	62	व्योषः कस्य पर्यायः अस्ति? 	त्रिकटोः / त्र्यूषणस्य / कटुत्रिकस्य / सर्वेषाम्	सर्वेषाम्
20	synonym	1	64	चटकाशिरः कस्य पर्यायः अस्ति? 	शुण्ठ्याः / काकानासायाः / पिप्पलीमूलस्य / भल्लातकस्य	पिप्पलीमूलः
27	synonym	1		अजमोदा कस्य पर्यायः अस्ति? 	खराश्वस्य / मायूरस्य / ब्रह्मकुशायाः / सर्वेषाम्	सर्वेषाम्
29	synonym	1	86	कुस्तुम्बरू कस्य पर्यायः अस्ति? 		धान्यकस्य
30	synonym	1	93	मेथिका कस्य पर्यायः अस्ति? 	बहुपत्रिकायाः / बहुबीजायाः / बहुपर्ण्याः / सर्वेषाम्	सर्वेषाम्
31	synonym	1	94	मेथिका अधोदत्तेषु कस्य पर्यायः अस्ति? 	ज्योतेः / पीतबीजस्य / मुनिच्छदायाः / सर्वेषाम्	सर्वे
32	synonym	1	96	पशुमेहनकारिका अनेन शोषणस्य पर्यायः कः अस्ति?  अधोलिखितेषु	मेथिका / जीरकम् / चन्द्रशूरः / अजमोदा	चन्द्रशूरः
33	synonym.negation	1	100	अधोलिखितेषु हिङ्गुः इति कस्य पर्यायः न अस्ति? 	सहस्रवेधेः / रामठस्य / बाल्हीकस्य / न कस्यचन	न कस्यचन
36	meta.reference	1	102	द्वीपान्तरवचायाः वर्णनं भावप्रकाशस्य कस्मिन् वर्गे कृतम् अस्ति?		हरीतक्यादिवर्गे
37	synonym	1	111	विडङ्गः अधस्तनेषु कस्य पर्यायः  अस्ति?	कृमिघ्नस्य / चित्रतण्डुलस्य / जन्तुनाशनस्य / सर्वेषाम्	सर्वेषाम्
38	synonym	1	117	तुगाक्षीरी अधस्तनेषु कस्य पर्यायः अस्ति?	वंशलोचनस्य / विडंगस्य / द्वीपांतर वचा / लवङ्गस्य	वंशलोचनस्य
39	synonym	1	145	क्लीतकस्य पर्यायः अधस्तनेषु कः अस्ति?	हरिद्रा / यष्टिमधु / मधूक / सारिवा	यष्टिमधु
40	synonym.negation	1	147	आरग्वधः अधस्तनेषु कस्य पर्यायः न अस्ति?	शम्पाकस्य / व्याधिघातस्य / रोचनस्य / कर्णिकारस्य	रोचनस्य
41	synonym	1	151	कुटकी अधस्तनेषु कस्य पर्यायः अस्ति?	कृष्णभेदायाः / कटम्भरायाः / शकुलादन्याः / सर्वेषाम्	सर्वेषाम्
42	synonym	1	152	मत्स्यपित्ता अधस्तनेषु कस्य पर्यायः अस्ति?	कुटक्याः / मधुयष्ट्याः / आरग्वधस्य / मण्डूक्याः	कुटक्याः
43	synonym	1	153	किराततिक्तः एतेषु कस्य पर्यायः अस्ति?	कटुरोहिण्याः / तिक्तायाः/ कटुकायाः / काण्डतिक्तायाः	काण्डतिक्तायाः
44	synonym	1	161	विषपुष्पकः एतेषु कस्य पर्यायः अस्ति?	मदनफलस्य / अर्कस्य / लाङगल्याः / करवीरस्य	मदनफलस्य
45	synonym	1	160	मदनफलम् एतेषु कस्य पर्यायः अस्ति?	छर्दनस्य / नटस्य / शल्यकस्य / सर्वेषाम्	सर्वेषाम्
46	synonym.negation	1	162	रास्ना एतेषु कस्य पर्यायः न अस्ति?	युक्तरसायाः / एलापर्ण्याः / श्रेयस्याः / रामसेनकस्य	रामसेनकस्य
48	synonym			पारावतपदी एतेषु कस्य पर्यायः अस्ति?	मालकाङ्गन्याः / रास्नायाः / गुडुच्याः / ब्राह्म्याः	मालकाङ्गन्याः
49	synonym,part-of	1	176	चोकः कस्य द्रव्यस्य मूलं कथ्यते?		सत्यानाश्याः
51	synonym	1	183	ब्राह्मणयष्टिका एतेषु कस्य पर्यायः अस्ति?	यष्टीमधुनः/ धातक्याः / भारङ्ग्याः / कायफलस्य	भारङ्ग्याः
52	synonym.negation	1	187	कट्फलः एतेषु कस्य पर्यायः न अस्ति?	कैटर्यस्य/ अङ्गारवल्ल्याः / श्रीपर्णिकायाः / भद्रवत्याः	अङ्गारवल्ल्याः
53	synonym.negation	1	182	धातकी एतेषु कस्य पर्यायः न अस्ति?	ताम्रपुष्प्याः / कुन्जरायाः / भद्रायाः / वह्निज्वालायाः	भद्रायाः
54	synonym	1	188	भावप्रकाशानुसारं मण्डूकपर्णी एतेषु कस्य पर्यायः अस्ति?	मण्डूक्याः / ब्रह्म्याः / मञ्जिष्ठा	मञ्जिष्ठा
55	synonym.negation	1	188	मञ्जिष्ठा एतेषु कस्य पर्यायः नास्ति?	मण्डूकपर्ण्याः / योजनवल्ल्याः / रक्तयष्टिकायाः / भद्रवत्याः	भद्रवत्याः
56	effect.karma	1	195	विशेषाद्वयङ्गनाशनः एतेषु कस्य कर्म अस्ति?	अलक्तकस्य / शाल्मल्याः / मधुयष्ट्याः / नीमस्य	अलक्तकस्य
57	synonym	1	194	पलङ्कषा एतेषु कस्य पर्यायः अस्ति?	मण्डूकपर्ण्याः / लाक्षायाः / गुगुलस्य / बह्म्याः	लाक्षायाः
58	synonym.negation	1	196	हरिद्रा एतेषु कस्य पर्यायः नास्ति?	निशायाः / योषितप्रियायाः / हटविलासन्याः / भद्रायाः	भद्रायाः
59	synonym	1	197	हरिद्रा एतेषु कस्य पर्यायः अस्ति?	काच्चन्याः / पीतायाः / वरवर्णिन्याः / सर्वेषाम्	सर्वेषाम्
60	comparison,property	1	198	कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति?		आम्रेण
61	synonym	1	198	सुरभीदारु एतेषु कस्य पर्यायः अस्ति?	दारूहरिद्रायाः / हरिद्रायाः / कर्पूरहरिद्रायाः / तेजोहवायाः	कर्पूरहरिद्रायाः
62	property	1	200	कुष्ठवातास्त्रनाशनः एतेषु कस्य गुणः अस्ति?	कर्पूरहरिद्रायाः / हरिद्रायाः / अरण्यहरिद्रायाः / दारूहरिद्रायाः	अरण्यहरिद्रायाः
63	synonym	1	201	दारूहरिद्रा एतेषु कस्य पर्यायः अस्ति?	पर्जन्यायाः / कटङ्कटेर्याः / पचम्पचायाः / सर्वेषाम्	सर्वेषाम्
64	source.about	1	202	"निशागुणा किन्तु नेत्र कर्णास्यरोगनुत्" अत्र कस्य विषये उक्तम् अस्ति?	हरिद्रायाः / दारूहरिद्रायाः / अरण्यहरिद्रायाः / कर्पूरहरिद्रायाः	अरण्यहरिद्रायाः
65	source.completion	1	203	"...... तत् नेत्रयोः परं हितम्।" कस्य विषये उक्तम् अस्ति?	मुद्गस्य / रसाञ्जनस्य / गृञ्जनस्य / आमलकस्य	रसाञ्जनस्य
66	synonym	1	204	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च कस्य पर्यायाः सन्ति?	रसाञ्जनस्य / हरिद्रायाः / शिलाजीतः / मुक्ताशुक्त्याः	रसाञ्जनस्य
67	synonym			बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति?	सोमराज्याः / कालमेष्याः / शशिलेखायाः / सर्वेषाम्	सर्वेषाम्
68	synonym.negation	1		बाकुची अधोलिखितेषु कस्य पर्यायः नास्ति?	पूतिफल्याः / कालमेष्याः / भद्रवत्याः / अवल्गुजस्य	भद्रवत्याः
69	synonym	1	210	मेषलोचनः अधोलिखितेषु कस्य पर्यायः अस्ति?	कुष्ठस्य/ चक्रमर्दस्य / कासमर्दस्य / मेषश्रृङ्ग्याः	चक्रमर्दस्य
70	synonym	1		चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति?	प्रपुन्नाटस्य / द्रद्रुघ्नस्य / एडगजस्य / सर्वेषाम्	सर्वेषाम्
71	synonym.negation	1	212	अतिविषा अधोलिखितेषु कस्य पर्यायः न अस्ति?	विश्वायाः / शुक्लकन्दायाः / घुणवल्लभायाः / सोमराज्याः	सोमराज्याः
72	synonym	1	213	अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति?	श्रृंग्याः / अरुणयाः / भङ्गुरायाः / सर्वेषाम्	सर्वेषाम्
73	count.variant	1	215	भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः?		२
74	synonym	1	215	स्थूलवल्कलः अधोलिखितेषु कस्य पर्यायः अस्ति?	अर्जुनस्य / खदिरस्य / लोध्रस्य / पीपलस्य	लोध्रस्य
75	synonym.reverse	1	216	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति?		पट्टिका-लोध्रस्य
76	synonym	1	217	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति?	उग्रगन्धस्य / महौषधस्य / म्लेच्छकन्दस्य / सर्वेषाम्	सर्वेषाम्
77	property.negation	1	219	लशुने कः रसः न अस्ति?		अम्लः
81	synonym	1	226	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	यवनेष्टस्य / अरिष्टस्य / उग्रगन्धस्य / रसोनकस्य	यवनेष्टस्य
82	synonym	1	226	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	मुखदूषकस्य / दुर्गन्धस्य / यवनेष्टस्य / सर्वेषाम्	सर्वेषाम्
83	synonym	1	229	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति?	चित्रकस्य / भल्लातकस्य / दन्त्याः / मञ्जिष्ठायाः	भल्लातकस्य
84	synonym.reverse	1	229	अग्निमुखी, क्षीरवृक्षः, शोफकृत् कस्य पर्यायाः सन्ति?		भल्लातकस्य
85	part-of,property	1	231	भल्लातकस्य कः भागः केश्यः (केशेभ्यः हितकरः) अस्ति?		वृन्तम्
86	property	1	234	मोहमदवाग्वह्निवर्धिनी निम्नेषु कस्य गुणः अस्ति?	मद्यस्य / भङ्गायाः / आफूकस्य / धत्तूरस्य	भङ्गायाः
87	meta.reference	1	238	आफूकस्य वर्णनं कस्य ग्रन्थे लभ्यते?	वाग्भट्टस्य / शारंगधरस्य / भावप्रकाशस्य	वाग्भट्टस्य / भावप्रकाशस्य
88	part-of	1	238	खाखसस्य कस्मात् भागात् आफूकः निष्पद्यते? 		फलस्य क्षीरात्
90	synonym	1	241	शीतशिवः एतेषु कस्य पर्यायः अस्ति?	धत्तूरस्य / सैन्धवस्य / भङ्गायाः/ अहिफेनस्य	सैन्धवस्य
91	meta.reference	1	241	भावप्रकाशः सैन्धवस्य वर्णनं कस्मिन् वर्गे कृतवान्?		हरीतक्यादौ
94	property,variant	1	246	उर्ध्वाधः कफवातानुलोमनं कस्य लवणस्य गुणः अस्ति?	सैन्धवस्य / सामुद्रस्य / बिडस्य / सौवर्चलस्य	बिडस्य
95	synonym	1	250	कः पाशुलवणम् उच्यते?	सामुद्रलवणम् / औद्भिद्लवणम् / बिडः / सौवर्चलः	औद्भिद्लवणम्
96	count.type	1		भावप्रकाशे कति प्रकाराणां लवणानां वर्णनं कृतम् अस्ति?		६
97	synonym	1	256	धातुद्रावकः कः क्षारः अस्ति?		टङ्कणः
98	count.type	1	259	भावप्रकाशे कति क्षारसमूहानां वर्णनं कृतम्?	क्षारद्वयस्य / क्षारत्रयस्य / क्षाराष्टकस्य / सर्वेषाम्	सर्वेषाम्
101	synonym	2	1	चन्द्रसंज्ञ एतेषु कस्य पर्यायः अस्ति?	कर्पूरस्य / मिश्र्याः / लवणस्य / पूतिकायाः	कर्पूरस्य
102	synonym	2	5	कस्तूरी एतेषु कस्य पर्यायः अस्ति?	वेदमुख्यायाः / मृगमदस्य / सहस्रभिदः / सर्वेषाम्	सर्वेषाम्
103	count.variant	2		कस्तूर्याः कति प्रकाराः उक्ताः?		३
105	synonym	2	11	भद्रश्री कस्य पर्यायः अस्ति?	हरिद्रायाः / एलायाः / चन्दनस्य / कुङ्कुमस्य	चन्दनस्य
106	variant	2		कालीयकं कीदृशं चन्दनम् अस्ति?		पीतम्
107	synonym	2		पट्टरञ्जकः कस्य पर्यायः अस्ति?		पतङ्गस्य
108	variant,comparison	2	20	किं चन्दनं श्रेष्ठं भवति?		मलयगिरि
109	synonym	2	21	अगुरूः कस्य पर्यायः अस्ति?	प्रवरस्य / राजार्हस्य / कृमिजग्धस्य / सर्वेषाम्	सर्वेषााम्
110	variant,property,comparison	2	21	कस्य वर्णस्य अगुरूः श्रेष्ठः अस्ति?	श्वेतः / रक्तः / कृष्णः / पीतः	श्वेतः
111	synonym	2	24	इन्द्रदारूः कस्य पर्यायः अस्ति?	देवदारूः / दारूहरिद्रा / रोहितकः / मञ्जिष्ठा	देवदारूः
112	synonym.negation	2	24	देवदारू एतेषु कस्य पर्यायः न अस्ति?	मस्तदारूः / दारूभद्रः / दारूः / सुरभि दारूः	सुरभि दारूः
115	synonym.negation	2	32	गुग्गुलुः कस्य पर्यायः न अस्ति?	जटायोः / महिषाक्षस्य / पलन्कषस्य / कृमिजग्धस्य	कृमिजग्धस्य
116	consumption.companion	2	45	गुग्गुलुसेवनेन सह किम् अहितकरं नास्ति?	दुग्धम् / मद्यं / अम्लपदार्थः / मैथुनम्	दुग्धम्
120	synonym	2	58	लवङ्गः निम्नलिखितेषु कस्य पर्यायः अस्ति?	देवकुसुमस्य / श्रीप्रसूनकस्य / श्रीसंज्ञस्य / श्रीफलस्य	श्रीफलस्य
