id	category	chapter_id	verse_id	question	options	answer
121	synonym	2	60	एला निम्नलिखितेषु कस्य पर्यायः अस्ति?	बृहदेलायाः / भद्वैलायाः / स्थूलैलायाः / सर्वासाम्	सर्वासाम्
122	synonym.negation	2		एला निम्नलिखितेषु कस्य पर्यायः नास्ति?	बहुलायाः / पृथ्विकायाः / भद्रश्रियः / निष्कुट्याः	भद्रश्रियः
123	synonym.negation	2	63	सूक्ष्म-एला निम्नलिखितेषु कस्य पर्यायः नास्ति?	उपकुन्चिकायाः / तुत्थायाः / द्राविड्यः / पृथ्वीकायाः	पृथ्वीकायाः
124	synonym	2	67	दारूसिता निम्नलिखितेषु कस्य पर्यायः?	देवदारु / त्वक् / दारूहरिद्रा / तेजपत्र	त्वक्
125	synonym.negation	2	69	नागकेशरः निम्नलिखितेषु कस्य पर्यायः नास्ति?	चाम्पेयस्य / नागपुष्पस्य / नागफलस्य / काञ्चनाह्वयस्य	नागफलस्य
127	comparison,location	2	75	क्व उत्पन्नः केशरः उत्तमः मन्यते?		काश्मीरे
128	synonym	2	79	गोरोचनः निम्नलिखितेषु कस्य पर्यायः अस्ति?	वन्द्यायाः / काश्मीरस्य / वाहीकस्य / चाम्पेयस्य	वन्द्यायाः
130	synonym	2	89	जटामांसी निम्नेषु कस्य पर्यायः अस्ति?	भूतजटायाः / तपस्विन्याः / पारसीकस्य / सर्वेषाम्	सर्वेषाम्
131	synonym	2	93	गुन्द्रा निम्नेषु कस्य पर्यायः अस्ति?	गुजायाः / मुस्तायाः / गोरोचनायाः / कुङ्कुमस्य	मुस्तायाः
132	synonym	2	95	कर्पूरः निम्नेषु कस्य पर्यायः अस्ति?	वेधमुख्यस्य / द्राविडस्य / कल्पकस्य / सर्वेषाम्	सर्वेषाम्
133	synonym	2	99	षड्ग्रन्था निम्नेषु कस्य पर्यायः अस्ति?	शठ्याः / एलायाः / अतिविषायाः / रसोनस्य	शठ्याः
134	synonym.reverse	2	114	पत्राढ्यं धात्रीपत्रं च कस्य पर्यायौ स्तः?		तालीसपत्रस्य
135	origin	3	5	इन्द्रेण वानराणां प्रति कृतामृतवर्षायाः बिन्दवः पृथ्व्यां पतनतः कस्य द्रव्यस्य उत्पत्तिः मता अस्ति?	गुडूच्याः / लशुनस्य / आमलक्याः / शतावर्याः	गुडूच्याः
136	synonym	3	6	मधुपर्णी निम्नेषु कस्य पर्यायः अस्ति?	दालचिन्याः / अमृतायाः / एलायाः / तेजपत्रस्य	अमृतायाः
137	synonym.negation	3		गुडूची निम्नेषु कस्य पर्यायः नास्ति?	अमृतवल्लर्याः / छिन्नरुहायाः / सोमवल्ल्याः / कश्चिन्न	कश्चिन्न
138	synonym	3		गुडूची निम्नेषु कस्य पर्यायः अस्ति?	वत्सादन्याः / तन्त्रिकायाः / चक्रलक्षणिकायाः / सर्वेषाम्	सर्वेषाम्
139	meta.reference	3	12	ताम्बूलस्य वर्णनं भावप्रकाशे कस्मिन् वर्गे लभ्यते?	हरिद्रादौ / गुडूच्यादौ / रसोनादौ / सर्वत्र	गुडूच्यादौ
140	synonym	3	13	श्रीफलः कस्य पर्यायः अस्ति?	धत्तूरस्य / बिल्वस्य / भङ्गायाः / लवङ्गस्य	बिल्वस्य
141	synonym.negation	3		गम्भारी कस्य पर्यायः नास्ति?	सोमवल्ल्याः / मधुपर्णिकायाः / पीतरोहिण्याः / काश्मर्याः	सोमवल्ल्याः
142	synonym	3	24	गणिकारीका कस्य पर्यायः अस्ति?		अग्निमन्थस्य
143	meta.reference	3		बृहत्पञ्चमूलस्य वर्णनं भावप्रकाशस्य कस्मिन् प्रकरणे कृतम्?		गुडूच्यादिवर्गे
146	synonym.negation	3	38	गोक्षुरः कस्य पर्यायः नास्ति?	पलङ्कषायाः / श्वदंष्ट्रायाः / इक्षुगन्धिकायाः / दुःस्पर्शायाः	दुःस्पर्शायाः
147	meta.reference	3	41	दशमूलस्य वर्णनं भावप्रकाशे कुत्र अस्ति?		गुडूच्यादिवर्गे
151	property,varient	3		भावप्रकाशे शुक्लं रक्तं चेत्येतौ कस्य भेदौ उक्तौ?	एरण्डस्य / स्नुह्याः / अर्कस्य / १-२	एरण्डस्य / स्नुह्याः
153	source.about	3	74	"भक्षितं विषवन्मतम्" कस्य विषये उक्तम्?	अर्कस्य / स्नूह्याः / कलिहार्याः / करवीरस्य	करवीरस्य
154	synonym,part-of	3	86	मातुलपुत्रकः कस्य फलं कथ्यते?		धत्तूरस्य
155	synonym	3	93	हिङ्गुनिर्यासः कस्य पर्यायः अस्ति?		निम्बस्य
156	synonym	3		निम्बः एतेषु कस्य पर्यायः अस्ति?	पारिभद्रस्य / पिचुमर्दस्य / अरिष्टस्य / सर्वेषाम्	सर्वेषाम्
157	synonym.reverse	3		विषमुष्टिकः केशमुष्टिकः च कस्य पर्यायौ स्तः?		महानिम्बस्य
159	synonym	3	101	गण्डारिः एतेषु कस्य पर्यायः अस्ति?	काञ्चनारस्य / पारिभद्रस्य / गुग्गुलस्य / मधुयष्ट्याः	काञ्चनारस्य
160	count.variant	3		भावप्रकाशेन शिग्रोः कति भेदाः उक्ताः?		३
162	synonym	3	112	भावप्रकाशानुसारं विष्णुक्रान्ता एतेषु कस्य पर्यायः अस्ति?	शङ्खपुष्प्याः / अपराजितायाः / ब्राह्म्याः / गुडूच्याः	अपराजितायाः
163	synonym.negation	3	116	कुटजः एतेषु कस्य पर्यायः नास्ति?	गिरिमल्लिकायाः / कालिङ्गस्य / सिन्दुवारस्य / पाण्डुरद्रुमस्य	सिन्दुवारस्य
165	synonym.reverse	3	129	आत्मगुप्ता मर्कटी दुःस्पर्शा च कस्य पर्यायाः सन्ति?		कपिकच्छोः
166	source.about	3	131	"तत् बीजं वातशमनं स्मृतं वाजीकरणं परम्।" कस्य विषये उक्तम्? 		कपिकच्छोः
167	disease-treatment	3	140	मूषकसर्पयोः विषनाशकं द्रव्यं किम्?		अड्कोटः
169	effect.karma	3	157	पुत्रदाऽवश्यम् (अवश्यं पुत्रं ददाति) इति किं द्रव्यम् अस्ति?		लक्ष्मणा
170	comparison,property	3	157	लक्ष्मणायाः गन्धः केन समम् अस्ति?		बस्तगन्धेन
173	comparison,property,variant	3	196	कः त्रिवृत् हीनगुणवत् अस्ति? 		कृष्णः
174	synonym	3	210	प्लीहशत्रुः निम्नलिखितेषु कस्य पर्यायः अस्ति?	रोहितकस्य / शरपुंखायाः / पुनर्नवायाः / गिलोयस्य	शरपुंखायाः
175	synonym	2	219	अधःशल्यः निम्नलिखितेषु कस्य पर्यायः अस्ति?	त्रिवृतः / गोक्षुरस्य / अपामार्गस्य / अमलतासस्य	अपामार्गस्य
176	synonym	2	239	केशरञ्जनः निम्नलिखितेषु कस्य पर्यायः अस्ति?	अरिष्टकस्य / सातलायाः / भृङगराजस्य/ मञ्जिष्ठायाः	भृङगराजस्य
177	synonym	2	279,281	महौषधी निम्नलिखितेषु कस्य पर्यायः अस्ति?	श्रृंगवेरस्य / मण्डूकपर्ण्याः / गिलोयस्य / आमलक्याः	मण्डूकपर्ण्याः
178	meta.reference,meta.order	3	1	पुष्पवर्गे सर्वप्रथमं कस्य द्रव्यस्य वर्णनं कृतम् अस्ति?	कमलस्य / गुलाबस्य / चमेल्याः / जूह्याः	कमलस्य
179	synonym	3	62	तुलसी निम्नलिखितेषु कस्य पर्यायः अस्ति?	बहुमञ्जर्याः / अपेतराक्षस्याः / भूतघ्न्याः / सर्वेषाम्	सर्वेषाम्
180	synonym	3	62	देवदुन्दुभिः निम्नलिखितेषु कस्य पर्यायः अस्ति?	धतूरस्य / कर्पूरस्य / तुलस्याः / पीपलस्य	तुलस्याः
184	synonym	3	38	गर्भपातनः निम्नलिखितेषु कस्य पर्यायः अस्ति?	अरिष्टकस्य / लाङ्गल्याः / टङ्कणस्य / उलट्कालिकस्य	अरिष्टकस्य
186	part-of	3	56	मोचरसः निम्नेषु कस्य निर्यासः अस्ति?	शाल्मल्याः / श्ल्लक्याः / गुञ्जुलस्य / शिग्रोः	शाल्मल्याः
187	synonym,match-options			सुमेलयतु i. स्थूलवल्कलम्       1. सप्तपर्णम्  ii. बहुलवल्कलम्      2. भूर्जपत्रम्  iii. विशालत्वक्      3. कट्फलः  iv. सोमवल्कलम्        4. लोध्रम्	i-1, ii-2, iii-3, iv-4 / i-2, ii-1, iii-3, iv-4 / i-4, ii-2, iii-1, iv-3	i-4, ii-2, iii-1, iv-3
188	property,match-options	6		सुमेलयतु - i. आमाम्रफलम्      1. वातहरम् श्लेष्मशुक्रवर्धनम् ii. शुष्कामाम्र फल    2. वातहरम् पित्तप्रकोपनम्  iii. पक्वाम्रफलम्       3. वातपित्तकृत्  iv. वृक्षपक्वाम्रफलम्  4. कफवातजित्	i-3, ii-1, iii-4, iv-2 / i-1, ii-2, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-1, iv-2	i-3, ii-4, iii-1, iv-2
190	part-of	6	15	आम्रावर्तः कस्मात् भागात् भवति?	आम्ररसात् / आम्रत्वचः / आम्रफलात् / आम्रपुष्पात्	आम्ररसात्
192	synonym	6	35	अशुमतीफलं निम्नेषु कस्य पर्यायः अस्ति?	कदल्याः / आम्रस्य / नारिकेलस्य / कालिन्दसस्य	कदल्याः
193	synonym	6		सुमेलयतु - i. कण्टकारीफलम्           1. कदलीफलम्  ii. अंशुमतीफलम्       2. त्रपुसः  iii. अतिबृहत् फलम्    3. नारिकेलः iv. स्कन्धफलम्         4. कट्फलः	i-2, ii-1, iii-4, iv-3 / i-1, ii-2, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-2, ii-1, iii-4, iv-3
194	synonym	6	44	दशाङ्गुलं निम्नेषु कस्य पर्यायः अस्ति?	कदलीफलस्य / पनसस्य / कालिन्दसस्य / खर्बूजस्य	खर्बूजस्य
195	comparison,property	6	60	किं फलं शुष्कम् एव श्रेष्ठम् अस्ति?	द्राक्षायाः / बिल्वस्य / हरितक्याः / सर्वेषाम्	सर्वेषाम्
196	synonym.reverse	6	61	पुष्पफलं तथा दधिफलं कस्य पर्यायौ स्तः?		कपित्थफलस्य
201	property	6	113	द्राक्षायाः आकारः कः अस्ति?	गोमुखसमः / गोस्तनसमः / गोखुरसदृशः  / गवां वर्णेन समानम्	गोस्तनसमः
202	synonym	6	115,120	खर्जूरः अधस्तनेषु कस्य पर्यायः अस्ति?	स्वल्पखर्जूरस्य / पिण्डखर्जूरस्य / स्रोतःखर्जूरस्य / सर्वेषाम्	सर्वेषाम्
203	synonym	6	121,122	सुलेमानी कस्य पर्यायः अस्ति?		पिण्डखर्जूरस्य
204	synonym	6	123	नेत्रोपमफलं कस्य पर्यायः अस्ति?		वातदस्य
205	synonym.reverse	6	125	मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी इति? 		सेवस्य
209	comparison,property,variant	6	60	किं फलं शुष्कम् अधिकगुणकरम् अस्ति?	बिल्वः / द्राक्षाः / हरीतकी / सर्वे	सर्वे
210	synonym.reverse	6	61	कपिप्रियः, दधिफलम्, दन्तराठः च कस्य पर्यायाः सन्ति?		कपित्थस्य
211	synonym.reverse	6	63	त्वक्सुगन्धः मुखप्रियश्च कस्य पर्यायौ स्तः?		नारङ्गिकायाः
212	count.variant	6	101	भावप्रकाशः स्वादानुसारं दाडिमस्य फलानि  कतिविधानि उक्तवान्?		३
213	synonym	6	108	पयःप्रसादी अधस्तनेषु कस्य पर्यायः अस्ति?	द्राक्षायाः / परूषकस्य / कतकस्य/ शहतूतस्य	कतकस्य
215	ingredient	6	150	पञ्चाम्ले चतुराम्लादतिरिक्तं किं द्रव्यं भवति?		बीजपूरः 
216	count.type	7	1	भावप्रकाशे कति धातवः उक्ताः?		७
217	origin	7	3	अग्निदेवस्य वीर्यात् कः धातुः उत्पन्नः?		स्वर्णम्
218	method.metal	7	4	कृत्रिमस्वर्णस्य उत्पत्तिः कस्मात् द्रव्यात् भवति?	हिङ्गुलात् / पारदस्य वेधनात् / शिलाजतोः / स्वर्णमाक्षिकात्	पारदस्य वेधनात्
221	origin	7	22	ताम्रस्य उत्पत्तिः कथं भवति?		कार्तिकेयस्य वीर्येण
222	count.property	7	28	ताम्रस्य अनुत्कृष्टभस्मनः कति दोषाः भवन्ति?		८
223	count.variant	7	29	रङ्गस्य कति भेदाः भावप्रकाशे उक्ताः?		२
224	synonym	7	23	रविप्रियः कस्य धातोः पर्यायः अस्ति? 		ताम्रस्य
225	origin,match-options	7		केभ्यः देवतेभ्यः का धातुः उत्पद्यते सुमेलितं कुरुत -  i. शिवः 1. सुवर्णम्  ii. कार्तिकेयः 2. रजतम्  iii. वासुकिः 3. ताम्रम्  iv. अग्निदेवः 4. नागः	i-2, ii-3, iii-4, iv-1 / i-2, ii-3, iii-4, iv-1 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-2, ii-3, iii-4, iv-1
226	count.property	7	40	लौहधातोः कति दोषाः उक्ताः?		७
227	consumption.companion.negation	7	45	लौहसेवनसमये त्याज्यः पदार्थः कः?	कूष्माण्डम् / तिलतैलम् / मद्य / सर्वे	सर्वे
228	count.type	7	53	भावप्रकाशे कति उपधातवः उक्ताः सन्ति?		७
229	synonym.reverse	7	66	वितुन्नकः, शिखिग्रीवः, मयूरकः च कस्य पर्यायाः सन्ति?		तुत्थस्य
233	type	7		सिन्दूरः अधोलिखितेषु कस्य उपधातुः अस्ति?	यशदस्य / नागस्य / ताम्रस्य / ताम्रस्य	नागस्य
234	count.variant	7	79	शिलाजितोः कति भेदाः सन्ति?		४
239	comparison	7	85	कः शिलाजितु सर्वश्रेष्ठा भवति?		लौह
241	property,variant,karma	7	81	कस्य वर्णस्य पारदः रसायनकर्मणि श्रेष्ठः भवति?		रक्तः
244	count.property	7	96	पारदस्य स्वाभाविकदोषाः कति?		७
249	variant.negation	7	104	अधोलिखितेषु कः हिङ्गुलस्य भेदः न अस्ति?	चर्मारः / म्लेच्छः / शुक्रतुण्डः / हंसपादः	म्लेच्छः
251	synonym.reverse	7	109	गन्धकः अधोलिखितेषु कस्य पर्यायः अस्ति?	गन्धकपाषाणस्य / बलिनः / बलरसस्य / सर्वेषाम्	सर्वेषाम्
253	variant,method.metal	7	110	कः गन्धकः स्वर्णनिर्माणे उपयुज्यते?		रक्तवर्णः
257	true-false	7	111	अधोलिखितेषु किं तथ्यं  गन्धकसन्दर्भे अयोग्यम् अस्ति?	कफवातहर / रसायनः / मधुरविपाकः / उष्णवीर्यः	मधुरविपाकः
258	variant,property	7	112	अधोलिखितेषु कः अशुद्धगन्धकस्य दोषो नास्ति?	ओजनाशकः / कुष्ठः / आमवातः / विषमज्वरः	आमवातः 
259	synonym	7	115	अभ्रकम् अधोलिखितेषु कस्य पर्यायः अस्ति?	गगनस्य / वज्रस्य / उभयस्य / न कस्यापि	उभयस्य
260	match-options,purpose	7	117	सुमेलयत  i. श्वेतम् अभ्रकम्       1. रसायनकर्म  ii. रक्तम् अभ्रकम्     2. रजतनिर्माणहेतु  iii. पीतम् अभ्रकम्    3. सुवर्णनिर्माणहेतु  iv. कृष्णम् अभ्रकम्   4. रोगनाशनहेतु	i-2, ii-1, iii-4, iv-3 / i-2, ii-1, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-2, ii-1, iii-3, iv-4
261	disease-treatment	7	119	पिनाक-अभ्रकसेवनात् कः रोगः जायते?	मधुमेहः/ महाकुष्ठः / गांठिकाः / मृत्युः	महाकुष्ठः
269	synonym	7	141	स्फटिका अधोलिखितेषु कस्य पर्यायः अस्ति?	श्वेतायाः / शुभ्रायाः / दृढरङ्गायाः / सर्वेषाम्	सर्वेषाम्
270	synonym	7	143	राजावर्तः अधोलिखितेषु कस्य पर्यायः नास्ति?	नृपावर्तस्य / दृढरङ्गायाः / रेवट्याः / आवर्तमणिसंज्ञकस्य	दृढरङ्गायाः
271	synonym	7	151	तुत्थकम् अधोलिखितेषु कस्य पर्यायः अस्ति?	खर्परस्य / खटिकायाः / वालुकायाः / गैरिकस्य	खर्परस्य
273	synonym	7	155	सौराष्ट्री अधोलिखितेषु कस्य पर्यायः?	मृत्तालकस्य / आढक्याः / मृत्स्नायाः / सर्वेषाम्	सर्वेषाम्
274	synonym	7	156	क्षेत्रजा अधोलिखितेषु कस्य पर्यायः?	कर्दमस्य / शङ्खस्य / बोलस्य / कृष्णमृत्तिकायाः	कृष्णमृत्तिकायाः
280	property,purpose	7	171	कस्य वर्णस्य हीरकः रसायनार्थम् उपयुक्तः भवति?	ब्राह्मणवर्णस्य / क्षत्रियवर्णस्य / वैश्यवर्णस्य/ शूद्रवर्णस्य	ब्राह्मणवर्णस्य
287	time	8	3	शालिधान्यस्य उत्पत्तिः कस्मिन् ऋतौ भवति?		हेमन्ते
288	time	8	19	ब्रीहिधान्यानि कस्मिन् ऋतौ उत्पद्यन्ते?		वर्षासु
295	synonym	8	36	सूप्यं वैदलं च कस्य पर्यायौ स्तः?		शिम्बीधान्यस्य
302	synonym	8	71	अधस्तनेषु क्षुज्जनिका कस्य पर्यायः अस्ति?	सर्षपस्य / राजिकायाः / कंगोः / चणकस्य	राजिकायाः
303	time	8	90	भावप्रकाशानुसारं कति वर्षाणां पुरातनानि धान्यानि पुराणानि इति उच्यन्ते?	>१ वर्ष / >२ वर्ष / ५ वर्ष / १० वर्ष	>२ वर्ष
304	count.type	9	1	शाकस्य कति भेदाः भवन्ति?		६
305	order,property	9	1	निम्नलिखितान् उत्तरोत्तरं गुरूत्वस्य क्रमेण व्यवस्थापयत। नालं, पत्रं, पुष्पं, फलं, कन्दं, संस्वेदज?	पत्रं, पुष्पं, फलं, सस्वेदजं, कन्दं, नाल / पुष्पं, फलं, सस्वेदजं, नालं, कन्दं, पत्रं / पत्रं, पुष्पं, फलं, नालं, कन्दं, सस्वेदजं / पत्रं, पुष्पं, नालं, फलं, सस्वेदजं, कन्दं	पत्रं, पुष्पं, फलं, नालं, कन्दं, संस्वेदजं
306	variant,effect.karma	9	19	किं शाकं दुग्धवर्धकं शुक्रजनकं च भवति?		कलम्बी
307	synonym	9	23	अश्मन्तकः कस्य पर्यायः भवति?		चुक्रिकायाः
308	effect.karma	9	41	अधोलिखितेषु किं शाकं सर्वज्वरहर्ता अस्ति?	पटोलपत्रम् / गुडूची / कासमर्दः / गोजिह्वा	गुडूची
309	property	9	47	भावप्रकाशस्य अनुसारं निन्दनीयं शाकं किम् अस्ति?		सर्षपः
311	meta.reference	9	69	भावप्रकाशे सर्षपस्य वर्णनं कस्मिन् वर्गे कृतम् अस्ति?	शूकधान्याम् / शिम्बीधान्याम् / शालिधान्याम् / शाकवर्गे	शिम्बीधान्याम्
314	count.variant	9	95	आलुकस्य कति भेदाः सन्ति?		५
315	consumption.suitability,variant	9	118	किं शाकम् अपक्वं शुष्कं च उभयथापि ग्रहीतुं निषेधः न अस्ति?		मूलकः
316		9	117	शाकस्य संदर्भे का व्याख्या निषिद्धा अस्ति?	व्याधितम् / अऋतुजम् / सशुष्कम् / सर्वे	सर्वे
317	synonym		1	मांसं निम्नेषु कस्य पर्यायः न अस्ति?	क्रव्यस्य / आमिषस्य / पललस्य / सर्वेषाम्	सर्वेषाम्
322	disease-treatment		17	निम्नेषु कस्य मांसं नेत्रगुदविकारेषु नित्यं हितकरं भवति?	गुहाशयस्य / बिलेशयस्य / पर्णमृगस्य / प्रतुदस्य	गुहाशयस्य
323			21	के पक्षिणः विकीर्य भक्षयन्ति?	प्रतुदः / विष्किरः / प्रसहः / विलेशयः	विष्किरः
325	synonym.negation		31	अधोलिखितेषु कः प्लवपक्षी अस्ति?	सारसः / उलूकः / पारावतः / लावः	सारसः
326			51	केषां पक्षिणां मांसम् अत्युत्तमं स्यात्?	जले निवसतां पक्षिणां / धान्यस्य अङ्कुरान् चरतां पक्षिणां / विस्किर- पक्षिणाम् / विलेशय-पक्षिणां	धान्यस्य अङ्कुरान् चरतां पक्षिणां
327	count.variant			विष्किरवर्गस्य पक्षिणां कति भेदाः सन्ति?		४
328	true-false			अधोलिखितेषु किं वाक्यं मिथ्या अस्ति?	पक्षिषु स्त्रीजातिमांसं श्रेष्ठं वर्तते। / चतुष्पदेषु स्त्रीजातिजीवानां मांसं श्रेष्ठं वर्तते। / पुरुषसंज्ञकस्य शरीरस्य अधोभागस्य मांसं लघु भवति। / सर्वं मिथ्या अस्ति।	पक्षिषु स्त्रीजातिमांसं श्रेष्ठं वर्तते।
330	synonym		1	अधोलिखितेषु जलस्य पर्यायः कः?	अमृतम् / घनरसः / अर्ण / सर्वे	सर्वे
332	synonym.negation		4	अधोलिखितेषु कः जलस्य भेदः नास्ति?	धाराजम् / वारि / करकाभवम् / तौषारम्	वारि
334			19	आकाशे वायुना अग्निना च घनं भूत्वा कीदृशं जलं शिलाखण्डरूपेण पतति?		कारकम्
336			68	भौमं जलं कस्मिन् समये गृह्यमाणम् उत्तमफलदं भवति?		प्रातः काले
338			71	शीतलजलस्य पानं कस्मिन् रोगे निषिद्धम् अस्ति?	दाहे / मूर्च्छायाम् / गलग्रहे / तमकश्वासे	गलग्रहे
341	source.completion		74	"जीवनं जीविनां जीवौ जगत् सर्वन्तु तन्मयम्" इत्येतत् कस्मिन् सन्दर्भे लिखितम् अस्ति?	रक्तसन्दर्भे / जलसन्दर्भे / प्राणसन्दर्भे / नेत्रसन्दर्भे	जलसन्दर्भे
342			86	पीतस्य साधारणजलस्य पाकः कतिदिनेषु भवति?	प्रहरे / १ प्रहरे / २ प्रहरे / ३ प्रहरे	१ प्रहरे
344	variant		18	निम्नेषु कस्य दुग्धं अश्मरीनाशकं भवति?	आविकस्य / घोटक्याः / औष्ट्रस्य / हस्तिन्याः	आविकस्य
345	variant		23	नस्यं आश्च्योतनं च कर्मभ्यां किम् दुग्धं प्रयुज्यते?		स्त्री
347	variant		25	निम्नेषु कस्य दुग्धं धाराशीतं उत्तमं भवति?		माहिषस्य
348			30	यद् दुग्धं विनाऽपक्त्वैव विपक्वं जायते तत् किम्?	पीयूषः / किलाटः / क्षीरशाकः / मोरट्	क्षीरशाकः
349			32	यद् दुग्धं दध्नः संयोजनेन खण्डितम् तथा तस्मात् अंशभूतं घनभागं निष्कास्य यद् द्रववस्तु शिष्टं भवति तत् किम्?		मोरट
351			42	रात्रौ दुग्धं कुतः पातव्यम्?	पथ्यम् / दोषशामकम् / नेत्रहितकरम् / सर्वे सम्यक्	सर्वे सम्यक्
354			18	कस्मिन् ऋतौ दध्नः सेवनं निषिद्धम्?		शरदि
355			20	दध्नः उपरि स्नेहयुक्तः भागः कः?	मस्तु / पीयूषः / तक्रम् / सरः	सरः
358			17	कस्मिन् ऋतौ अवस्थायां वा तक्रस्य सेवनं निषिद्धम्?	ग्रीष्मे / दाहे / रक्तपित्ते / सर्वे	सर्वे
359	variant		4	चक्षुष्यं नवनीतं किम्?		दुग्धोत्थं नवनीतं
360			16	पुरातनं घृतं किम् उच्यते?	एकवर्षप्राचीनं / द्विवर्षप्राचीनं / दशवर्षप्राचीनं / शतवर्षप्राचीनं	एकवर्षप्राचीनं
366	variant		4	विशेषेण चक्षुष्यं घृतं किम्?		गव्यम्
367	count.variant, meta.reference		7	भावप्रकाशे मूत्रवर्गे कति प्रकारकाणां सूत्राणां वर्णनं कृतम्?	२ / ३ / ५ / ७	२
368	variant.negation		7	भावप्रकाशे मूत्रवर्गे कस्य मूत्रस्य वर्णनं न कृतम्?	गोमूत्रम् / मनुष्यमूत्रम् / उभयोः / आविकमूत्रम्	आविकमूत्रम्
370			11	अधोलिखितेषु किं तैलं बृंहणं लेखनं च करोति?	सर्षपतैलम् / तिलतैलम् / राजिकातैलम् / अतसीतैलम्	तिलतैलम्
372	property		19	अधोलिखितेषु कः वास्तविकस्य तैलस्य गुणः अस्ति?	बल्यः / चक्षुष्यः / बस्तिकर्म / सर्वे	सर्वे
376	synonym		1	मधु अधोलिखितेषु कस्य पर्यायः अस्ति?	वरट्याः / भृंगवान्तस्य/ पुष्परसोद्भवस्य / सर्वेषाम्	सर्वेषाम्
387		2	8	हिमं कर्तुं द्रव्यस्य मात्रा कियती आवश्यकी?	२ पल / ४ पल / ६ पल / ८ पल	६ पल
388		2	9	मन्थे द्रव्यस्य मात्रा कियती सम्यक् अस्ति?	२ पल / ४ पल / ६ पल / ८ पल	४ पल
397	count.variant	2	62	स्नेहपरिपाकस्य कति प्रकाराः भवन्ति?	२ / ३ / ४ / ६	३
401		2	69	अरिष्टनिर्माणविधौ यदि द्रवपदार्थस्य मापनं न प्रोक्तं भवेत् तर्हि कियत् स्वीकर्तव्यम्?	1 द्रोणः / 1 तुला / अर्ध तुला / 8 पलानि	1 द्रोणः
405	count.property	3	43	मारणार्हे रजते कति गुणाः भवेयुः?	५ / ७ / ९ / १२	९
411		4	7	महती स्नेहमात्रा का?	१ दिनं रात्रौ च पचेते / १ दिवसः पच्यते / अर्धदिने पच्यते / चतस्रः घण्टाः पच्यते	१ दिनं रात्रौ च पचेते
412	count	4	8	स्नेहस्य का मात्रा या अग्निदीपिका वीर्यवर्धिका च?	कनिष्ठा / मध्यमा / ज्येष्ठा / कोई न	कनिष्ठा
417		5	36	विरेचनाय उत्तमाः ऋतवः के?	शिशिरः वसन्तः च / वसन्तः शारदः च / हेमन्तः वर्षा च / हेमन्तः शिशिरः च	वसन्तः शारदः च
420		5		षड् वर्षपर्यन्तम् बस्तिनेत्रस्य मानं कियत् स्यात्	६ अङ्गुलाः / ८ अङ्गुलाः / १० अङ्गुलाः / १२ अङ्गुलाः	८ अङ्गुलाः
422	count.variant	5	199	रेचननस्यस्य कति भेदाः?	२ / ३ / ४ / ५	२
423		5	197	नस्यकर्मणि तीक्ष्णस्य औषधस्य मापः कः?	१/२ शाणः / १ शाणः / १ १/२ शाणः / २ शाणः	१ शाणः
424	count.variant	5	211	स्नेहनस्यस्य कति भेदाः?	२ / ३ / ४ / नास्ति	२
427		5	228	प्रतिमर्शनस्यस्य कालः कतिवारम्?	१० / १२ / १४ / २०	१४
428	count.variant	6	1	धूम्रपानस्य प्रकाराः कति?	४ / ६ / ७ / ८	६
431	count.variant	6	29	गण्डूषस्य किति प्रकाराः?	२ / ३ / ४ / ५	४
