id	category	chapter_id	verse_id	question	options	answer
434	count.variant	6	40	स्वेदस्य प्रकाराः कति?	४ / १० / १३ / १४	४
435	count.variant	6	78	मूर्द्धतैलस्य प्रकाराः कति?	२ / ३ / ४ / ५	४
436	count.variant	6	92	लेपस्य प्रकाराः कति?	२ / ३ / ४ / न अस्ति	३
437	count.variant, meta.reference	6	152	भावप्रकाशेन नेत्रचिकित्सायाः कति प्रकाराः उक्ताः?	३ / ५ / ७ / ९	७
438		6	143	सिक्तक्षालनाय नेत्रधारयोः सम्यक् दूरत्वं कियत्?	२ अङ्गुलः / ४ अङ्गुलः / ६ अङ्गुलः / ३ अङ्गुलः	४ अङ्गुलः
440	count.variant	6	199	अञ्जनस्य भेदाः कति?	२ / ३ / ४ / ५	३
442	count.variant, meta.reference	6	237	भावप्रकाशस्य अनुसारं भेषजभक्षणसमयाः कति उक्ताः?	३ / ५ / ७ / ११	५
3	synonym	1	7	हरीतक्याः पर्यायः कः ? 	कायस्था / हेमवती / शिवा / सर्वे	सर्वे
8	consumption.suitability	1	35	हरीतक्याः सेवनाय अयोग्याः के?	बलवर्जिताः / कृशः / विमुक्तरक्तः / सर्वे	सर्वे
21	synonym	1	66	निम्नलिखितेषु पर्यायेषु चतुरूषणस्य घटकः कः ? 	चव्यः / चित्रकः / पिप्पलीमूलः / बिभीतकः	पिप्पलीमूल
22	synonym	1	68	अधोलिखितेषु कः गजपिप्पल्याः पर्यायः अस्ति? 	कपिवल्ली / कोलवल्ली / श्रेयसी / सर्वे	सर्वे
23	synonym	1		ऊषणः कस्य पर्यायः अस्ति? 	चित्रकस्य / मरिचः / शुण्ठ्याः	चित्रकस्य / मरिचः
24	synonym.negation	1	72	निम्नेषु कः पञ्चकोलस्य घटकः नास्ति? 	शुण्ठी / मरिचः / पिप्पली / पिप्पलीमूलः	मरिच
25	meta.reference			निम्नेषु कः द्रव्यः हरीतक्यादि वर्गे वर्णितः ? 	त्रिफला / त्रिकटुः / पञ्चकोलः / सर्वे	सर्वे
26	synonym	1	75	अधोलिखितेषु यवान्याः पर्यायः कः?	उग्रगन्धा / ब्रह्मदर्भा / अजमोदिका / सर्वे 	सर्वे
28	synonym.negation, variant.negation	1	81	निम्नेषु कः जीरकस्य भेदः न अस्ति? 	शुक्लजीरकः / उद्गारशोधनः / कालाजाजी / यवानी	यवानी
34	synonym	1	103	उग्रगन्धा इति कस्य पर्यायः अस्ति?	वचायाः / पलाण्डोः / यवान्याः	वचायाः / पलाण्डोः
35	synonym	1	102	निम्नेषु कः वचायाः पर्यायः ? 	षड्ग्रन्था / शतपर्विका / क्षुद्रपत्री / सर्वे	सर्वे
47	meta.reference	1	162	भावप्रकाशे कस्मिन् वर्गे रास्ना वर्णिता अस्ति? 		हरीतक्यादि
78		1	224	रसोनं सेवमाने किं हितकरं भवति?	दुग्धम् / गुडः / मांसम् / व्यायामः	मांसम्
79		1	225	रसोनसेवनेन सह किम् अहितकरम्?	मद्यम् / अम्लरसः / मांसम् / गुडः	गुडः
80		1	225	रसोनतुल्यगुणः किः द्रव्यम्?		पलाण्डु 
89		1	239	खाखसतिलस्य उपयुक्ताङ्गं किम्?		खसफलम्
92	synonym	1	242	शाकम्भरीयः इति कस्य पर्यायः?		रोमक-लवणः
93	synonym	1	244	लवणोदधिसम्भवः इति कस्य पर्यायः?		सामुद्रलवणः
99	synonym.negation	1	259	अधोलिखितेषु कः क्षाराष्टकस्य घटकः न अस्ति ?	यवक्षारः / अपामार्गक्षारः / टङ्कणः / पलाशक्षारः	टङ्कणः
100	meta.reference	2	1	निम्नेषु कः हरीतक्यादिवर्गे नास्ति? 	लवणः / क्षारः / कर्पूरः / रसोनः	कर्पूरः
104	variant	2	7	कस्तूर्याः कः भेदः श्रेष्ठः? 	कामरूपः / नेपाली / काश्मीरी / लताकस्तूरी	कामरूपः
113	synonym	2	26	सुरभिदारु कस्य पर्यायः?	देवदारुः / दारूहरिद्रा / अगुरुः / सरलः	सरलः
114	synonym	2	28	कालानुसार्यं कस्य पर्यायः?	तगरः / अगुरुः / देवदारुः / सरलः	तगरः
117	synonym	2	48	देवधूप इति कस्य पर्यायः?	गुग्गुलुः / रालः / अगुरुः / चन्दनम्	रालः
119		2	56	जातिपत्री इति का?	जातीफलस्य मूलम् / जातीफलस्य त्वक् / जातीफलस्य स्तम्भः / जातीफल पुष्पम्	जातीफलस्य त्वक्
126	synonym.negation	2	72	निम्नेषु कः त्रिजातस्य घटकः न? 	एला / नागकेशरः / त्वक् / पत्रकः	नागकेशरः
129	synonym	2	81	हट्टविलासिनी कस्य पर्यायः?	कुक्कुमम् / स्वल्पनखी / भङ्गा / धत्तूरः	स्वल्पनखी
144	synonym	3	38	बृहती इति कस्य पर्यायः?	वार्ताकी / कण्टकारी / द्वयोः / किमपि न	वार्ताकी / कण्टकारी / द्वयोः
145	synonym	3	31	अंशुमती कस्य पर्यायः?	शालपर्णी / शतावरी / काकोली / जीवन्ती	शालपर्णी 
148	synonym	3	50	शाकश्रेष्ठा इति कस्य पर्यायः?	जीवन्ती / वार्ताकी / चाङ्गेरी / पालङ्क्या	जीवन्ती
149	synonym	3	52	सूर्यपर्णी कस्य पर्यायः?	शालपर्णी / पृष्णिपर्णी / मुद्गपर्णी / माषपर्णी	मुद्गपर्णी
150	synonym.negation	3	57	भावप्रकाशे निम्नेषु द्रव्येषु किं द्रव्यं जीवनीयगणस्य घटकः न? 	माषपर्णी / मुद्गपर्णी / यष्टिमधु / कश्चन 	कश्चन 
152		3	65	सप्तविध-वृद्धिं किं द्रव्यं अपाकरोति?	एरण्डः / स्नुही / रास्ना / शाल्लकी	एरण्डः
158		3	99	किं द्रव्यं मूषकविषनाशकम् अस्ति? 	अर्कः / निम्बः / भल्लातकः / महानिम्बः	महानिम्बः
164	variant, meta.reference	3	120	करंजभेदः कः ? 	वल्ली-करञ्जः / कण्टक-करञ्जः / घृत-करञ्जः	कण्टक-करञ्जः / घृत-करञ्जः
168		3		बलाचतुष्टयस्य द्रव्याः के? 	बला + महाबला + अतिबला + नागबला / बरियारा + सहदेवी + ककहिया + गुलशकरी / बला + सहदेवी + महाबला + ऋष्यप्रोक्ता	(बला + महाबला + अतिबला + नागबला) / (बरियारा + सहदेवी + ककहिया + गुलशकरी)
171		3	166	दर्भद्वये के द्रव्ये स्तः?	कुश-काशः / नल-दर्भः / कुश-इक्षुः / कुश-क्षुरपत्रम्	कुश-क्षुरपत्रम्
172	synonym	3	180	स्वादुकन्दा इति कस्य पर्यायः?	वराहीकन्दः / विदारीकन्दः / सूरणकन्दः / मुशलीकन्दः	विदारीकन्दः
181	synonym.negation	3	15	क्षीरीवृक्षपञ्चके किं द्रव्यं न अस्ति ? 	शिरीषः / पारीषः / प्लक्षः / उदुम्बरः	शिरीषः
182		3	15	न्यग्रोधः उदुम्बरः पिप्पलम् पारीषः प्लक्षश्च सङ्कलितं किं कथ्यते?	पञ्चवल्कलम् / पञ्चक्षीरी / पञ्चमूलम्	पञ्चवल्कलम् / पञ्चक्षीरी
183		3	26	अर्जुनः कस्मिन् वर्गे वर्ण्यते?	आम्रादिवर्गे / वटादिवर्गे / हरीतक्यादिवर्गे / गुडूच्यादिवर्गे	वटादिवर्गे
185	synonym	3	49	क्षारश्रेष्ठः इति कस्य पर्यायः?	अपामार्गः / पलाशः / टङ्कणः / सर्जकः	पलाशः 
189		4	14	आम्रातियोगात् उत्पन्नानां दोषाणां निवारणचिकित्सा का?	शुण्ठी + जलम् / सौवर्चललवणम् + जीरकम् / मधुयष्टी + मधु + घृतम्	शुण्ठी + जलम् / सौवर्चललवणम् + जीरकम्
191		4	29	गुल्मिभिः मन्दवह्निभिः च विशेषेण किं वर्ज्यम्?	पनसः / आम्रः / लकुचः / कदली	पनसः
197	synonym	4		बहुलवल्कलः कस्य पर्यायः अस्ति?	प्रियालः / खदिरः / भूर्जपत्रम्	प्रियालः
198	meta.reference	4	90	"गर्भसंस्थापकं परम्" इति कस्य वर्णनम् अस्ति?	पद्माक्षः / अरिष्ठकः / लक्ष्मणा / पुत्रजीवकः	पद्माक्षः
199	synonym	4	92	जलफलः इति कस्य पर्यायः?	नारिकेलः / खर्बूजः / श्रृङ्गाटकः / कालिन्दः	श्रृङ्गाटकः
200	synonym	4	109	स्वादुफला इति कस्य पर्यायः?	द्राक्षा / आम्रः / कदली / कालिन्दः	द्राक्षा
206		4	127	निम्नलिखितेषु पर्यायेषु किं फलं मुद्गलानां देशे आधिक्येन प्राप्यते?	सेवम् / वातादः / अमृतफलम् / आम्रम्	अमृतफलम्
207		4	137	कृमिसमूहनाशकः इति कस्य वर्णनम्?	बीजपूरक / जम्बीरी निम्बूः / निम्बूकम् / मधुकर्कटी	निम्बूकम्
208	synonym	4	56	बिल्वकर्कटी इति कस्य पर्यायः?	बिल्वफलम् / बिल्वमज्जा / बिल्वपत्रम् / बिल्वमूलम्	बिल्वफलम्
214	synonym.negation, property	4	150	निम्नलिखितेषु पर्यायेषु चतुरम्ले किम् नास्ति?	अम्लवेतसः / बीजपूरकनिम्बूः / वृक्षाम्लः / जम्बीरनिम्बूः	बीजपूरकनिम्बूः
219			16	रजतस्य उत्पत्तिः कस्मात् भवति?	शिवस्य वीर्यतः / शिवस्य अश्रुभ्यः / पार्वत्याः अश्रुभ्यः / चन्द्रमसः	शिवस्य अश्रुभ्यः
220			17	कृत्रिमं रूप्यं कस्मात् उत्पद्यते?	पारदतः / स्वर्णतः / वङ्गादि एवं पारदतः / वङ्गादि एवं गन्धकतः	वङ्गादि एवं पारदतः
230			69	कांस्यस्य उत्पत्तिः कस्मात् भवति?	ताम्रात् / ताम्र + वङ्गात् / यशद + ताम्रात् / यशद + वङ्गात्	ताम्र + वङ्गात्
231	synonym		72	आरकूटम् इति कस्य पर्यायः?	स्वर्णमाक्षिकम् / कांस्यम् / खर्परम् / पित्तलम्	पित्तलम्
232			73	पित्तलस्य उत्पत्तिः कस्मात् भवति?	ताम्र-यशदात् / ताम्र-वङगात् / यशद-वङगात् / स्वर्ण-ताम्रात्	ताम्र-यशदात्
235			83	सौवर्णशिलाजतोः वर्णः कः भवति?	पाण्डुरः / मयूरकण्ठवर्णः / जपापुष्पवर्णः / जटायुपक्षाभः	जपापुष्पवर्णः
236			84	राजतशिलाजतोः वर्णः कः भवति?	कृष्णः / पाण्डुरः / रक्तः / जपापुष्पवर्णः	पाण्डुरः
237			84	ताम्रशिलाजतोः वर्णः कः भवति?	जपापुष्पसमानः / मयूरकण्ठसमः / कृष्णः / पाण्डुरः	मयूरकण्ठसमः
238			85	लौहशिलाजतोः वर्णः कः भवति?	कृष्णः / श्वेतः / जटायुपक्षाभम् / मयूरकण्ठसमः	जटायुपक्षाभम्
240	count.variant		88	पारदस्य कति भेदाः भवन्ति?		४
242			81	रुजायाः नाशाय उत्तमः पारदः कः?	श्वेतः / पीतः / रक्तः / कृष्णः	श्वेतः
243	synonym			पारदस्य पर्यायाः के?	रसधातुः / सूतः / महारसः / सर्वे	सर्वे
245			97	पारदस्य वङ्गदोषस्य कार्यं किम्?	मूर्च्छा / कुष्ठम् / जडता / वीर्यनाशः	कुष्ठम्
246	count		101	कति उपरसाः सन्ति?	१० / २० / ३० / ३६	२०
247	synonym.negation		102	अधोलिखितेषु हिङ्गुलः कस्य पर्यायः नास्ति?	दरदः / म्लेच्छः / चूर्णपारदः / चर्मारः	चर्मारः
248	count.variant		103	हिङ्गुलस्य कति भेदाः?	२ / ३ / ४ / ६	३
250			104	सर्वोत्तमः हिङ्गुलप्रकारः कः?	चर्मारः / शुक्रतुण्डकः / हंसपादः / दरदः	हंसपादः
252	count.variant		109	गन्धकस्य कति भेदाः?	२ / ३ / ४ / ६	४
254			110	व्रणादिषु लेपनाय योग्यः कः गन्धकः?	रक्तवर्णः / पीतः / कृष्णः / श्वेतः	श्वेतः
255			110	श्रेष्ठः गन्धकः कः?	रक्तवर्णः / कृष्णवर्णः / पीतवर्णः / श्वेतः	कृष्णवर्णः
256			110	सुदुर्लभः गन्धकः कः अस्ति?	श्वेतः / रक्तः / कृष्णः / पीतः	कृष्णः
262			123	कस्मिन् पर्वते उत्पन्नं अभ्रकं अत्यन्तं बहुसत्त्वम् भवति?	उत्तरशैले / पूर्वशैले / दक्षिणशैले / पश्चिमशैले	उत्तरशैले
263			123	स्वल्पसत्त्वम् अभ्रकं कस्मिन् पर्वते भवति?	उत्तरशैले / पूर्वशैले / दक्षिणशैले / पश्चिमशैले	दक्षिणशैले
264	count.variant		127	हरितालस्य कति भेदाः सन्ति?	२ / ३ / ४ / ६	२
266	synonym		132	मनःशिलायाः पर्यायाः के सन्ति?	नैपाली / कुनटी / गोला / सर्वे	सर्वे
267			134	अशुद्धायाः मनःशिलायाः कः दोषः भवति?	मूत्रकृच्छ्रः / मधुमेहः / कुष्ठः / अग्निमान्द्यम्	मूत्रकृच्छ्रः
268	count.variant		135	अञ्जनस्य कति भेदाः भवन्ति?	२ / ३ / ४ / ६	२
272	synonym		155	सुरमृत्तिका कस्य पर्यायः अस्ति?	कासीसम् / खर्परः / सौराष्ट्री / वालुका	सौराष्ट्री
275	synonym		157	निषद्वरः कस्य पर्यायः अस्ति?	कर्दमः / कृष्णमृत्तिका / बोलम् / कङ्कुष्ठः	कर्दमः
277	synonym		157	चुलुकः कस्य पर्यायः अस्ति?	वराटः / मलः / पलितः	मलः / पलितः
278	count.variant		161	कङ्कुष्ठस्य भेदाः कति?	२ / ३ / ४ / ६	२
279	synonym		170	हीरकः अधोलिखितेषु कस्य पर्यायः अस्ति?	चन्द्रः / मणिवरः / वज्रः / सर्वे	सर्वे
281	synonym		181	शोणरत्नं कस्य पर्यायः अस्ति?	हीरकः / माणिक्यम् / नीलमणिः / वैदूर्यम्	माणिक्यम्
282			180	अश्मगर्भः कस्य पर्यायः अस्ति?	हरिन्मणिः / नीलमणिः / वैदूर्यमणिः / पुष्परागः	हरिन्मणिः
283	synonym		184	केतुग्रहवल्लभः अधोलिखितेषु कस्य पर्यायः अस्ति?	इन्द्रनालः / पुष्परागः / माणिक्यम् / वैदूर्यम्	वैदूर्यम्
284	count		191	स्थावरविषाणि कति सन्ति?	५ / ७ / ९ / ११	९
285	count		200	उपविषाणि कति सन्ति?	५ / ७ / ९ / ११	७
286	count.variant		1	धान्यस्य  प्रकाराः कति सन्ति?	२ / ३ / ४ / ५	५
289			21	सर्वोत्तमम् व्रीहिधान्यम् किम्?	कुकटाण्डकः / शालामुखः / कृष्णव्रीहिः / जतुमुखः	कृष्णव्रीहिः
290			15	सर्वोत्तमः शालिधान्यम् किम्?	वापिता शालिः / रक्तशालिः / छिन्नरूढा शालिः / पुराणशालिः	रक्तशालिः
291			29	यवस्य विपाकः कः अस्ति?	मधुरः / अम्लः / कटुः / तिक्तः	कटुः
293	count.variant		31	गोधूमस्य प्रकाराः कति सन्ति?	२ / ३ / ४ / ५	३
294			35	शुक्रजनकः गोधूमप्रकारः कः अस्ति?	मधूली / दीर्घगोधूमः / महागोधूमः / सर्वे	मधूली
296			38	नेत्राभ्यां हितकरम् शिम्बीधान्यम् किम्?	मुद्गः / माषः / आढकी / राजमाषः	मुद्गः
297			49	निम्नलिखितेषु कृमिकारकम् शिम्बीधान्यम् किम्?	मुद्गः / वनमुद्गः / निष्पावः / मसूरः	वनमुद्गः
298	synonym		53	निम्नलिखितेषु कः चणकस्य पर्यायः?	हरिमन्थः / सकलप्रियः / चणकः / सर्वे	सर्वे
299	synonym.negation		57	निम्नलिखितेषु कः कलायस्य पर्यायः नास्ति?	वर्त्तुलः / सतीनः / हरेणुकः / हरिमन्थः	हरिमन्थः
300	count.variant		65	तिलस्य भेदाः कतयः भवन्ति?	२ / ३ / ४ / कोऽपि भेदः नास्ति	३
301	synonym		66	अतसी निम्नेषु कस्मै पर्यायः?	पार्वती / उमा / क्षुमा / सर्वे	सर्वे
310	property		71	निम्नलिखितेषु पर्यायेषु किं द्रव्यं सुखविरचकम् अस्ति?	पटोलपुष्पम् / पटोलनालः / पटोलपत्रम् / पटोलमूलम्	पटोलमूलम्
312			92	अर्शरोगिभ्यः विशेषेण पथ्यं शाकं किमस्ति?	सूरणः / डिण्डिशः / डोडिका / सर्वाणि	सूरणः
313			92	कन्दशाकेषु सर्वश्रेष्ठम् किम्?	नालः / कर्कोटी / सर्षपः / सूरणः	सूरणः
318	count.variant		3	जाङ्गलमांसस्य भेदाः कतयः?	२ / ४ / ६ / ८	८
319			3	अधोलिखितेषु पर्यायेषु पर्णमृगाणां विषये किं वाक्यं उचितम् अस्ति?	विकीर्य भक्षयन्ति / जङ्घायाः बलतः गच्छन्ति / वृक्षेषु आरोहन्ति / ग्रामे वसन्ति	वृक्षेषु आरोहन्ति
320	count.variant		7	आनूपमांसस्य कति प्रकाराः सन्ति?	२ / ३ / ४ / ५	५
321			14	शशकाः के इति कथ्यन्ते?	पर्णमृगाः / गुहाशयाः / बिलेशयाः / विष्किराः	बिलेशयाः
324			29	कः जीवः कूलेचरः इति  कथ्यते?	यः भ्रमित्वा खादति / यः जलाशयस्य कूले चरति / यः समूहसहितं खादति / यः जलाशये प्रविश्य चरति	यः जलाशयस्य कूले चरति
329			104	श्रेष्ठं मत्स्यमांसं किम्?	शिलोन्ध्रमांसम् / भाकुरमांसम् / रोहितमांसम् / श्रृङ्गीमांसम्	रोहितमांसम्
331	count.variant		4	जलस्य कति भेदाः सन्ति?	२ / ३ / ४ / ५	४
333	count.variant		9	धाराजलस्य कति भेदाः सन्ति?	२ / ३ / ४ / ५	२
335	count.variant		25	भौमजलस्य कति प्रकाराः भवन्ति?	२ / ३ / ४ / ५	३
337			69	जलपानस्य विधेः कः कालः उचितः?	भोजनात्पूर्वम् / भोजनमध्यम् / भोजनान्ते / मुहुर्मुहुः	मुहुर्मुहुः
339			70	कस्मिन् रोगे शीतलजलपानम् शस्यते?	विद्रधिः / मदात्ययः / पार्श्वशूलः / वद्धकोष्ठः	मदात्ययः
340			73	कस्मिन् रोगे अल्पजलपानम् शस्यते?	उदररोगः / मुखप्रसेकः / क्षयः / सर्वे	सर्वे
343			5	दुग्धपानम् कस्मिन् रोगे शस्यते?	जीर्णज्वरे / योनिरोगे / उदावर्ते / सर्वेषु	सर्वेषु
346	variant, property		21	किं दुग्धं कृमिकुष्ठनाशकम् अस्ति?	औष्ट्रदुग्धम् / घोटकीदुग्धम्  / आविकदुग्धम्  / स्त्रीदुग्धम् 	औष्ट्रदुग्धम्
350			36	सितायुक्तं दुग्धं किम् भवति?	वातनाशकः / शुक्रजनकः / कृच्छ्रनाशकः / कफकारकः	शुक्रजनकः
352	count.variant		3	दध्नः भेदाः कति?	२ / ३/ ४ / ५	५
353			12	किम् दधि उत्तमम् स्यात्?	माहिषम् / गव्यम् / आजम् / गालितम्	आजम्
357	synonym		1	अधोलिखितेषु पर्यायेषु तक्रस्य पर्यायाः के?	छोल / छच्छिका / श्वित / सर्वे	सर्वे
361			13	किं घृतं विषनाशकम् अस्ति?	नारी घृतः / आविकः / माक्षिषः / वडवा	वडवा
362			12	अमृतोपमं घृतं इति कस्य वर्णनं?	माहिष घृतम् / गव्य / स्त्री / औष्ट्र	स्त्री
363			9	किं घृतं कृमि-कुष्ठ-गुल्म-उदर-रोग-नाशकम्?	गव्य घृतम् / ह्यस्तन / आविक / औष्ट्र	औष्ट्र
364				कास-श्वास-क्षये हितकरं घृतं किम् अस्ति?	अज / आविक / गव्य / माहिष	अज
365			7	वीर्यवर्धकं घृतं किम्?	माहिष / अज / औष्ट्र / गव्य	माहिष
369			7	श्रेष्ठं तैलं किम्?	सर्षप / तिल / तुवरी / अतसी	तिल
371			12	किं घृतं हीनवीर्यम् इति कथ्यते?	<1 वर्ष प्राचीनस्य पक्वः / >1 वर्ष प्राचीनस्य पक्वः / 10 वर्ष प्राचीनं घृतम् / 100 वर्ष प्राचीनं घृतम्	>1 वर्ष प्राचीनस्य पक्वः
373			17	मद्यस्य पर्यायाः के?	कादम्बरी / हाला / वलवल्लभा / सर्वे	सर्वे
374			23	सुरायाः विषये किं विधानं योग्यम्?	पक्वा औषधं च जलं च साधितं मद्यम् / शालि च साठी च धान्यचूर्णात् निर्मिता मद्या / ईखात् निर्मिता मद्या / किञ्चित् अपि नैव	शालि च साठी च धान्यचूर्णात् निर्मिता मद्या
375			24	वारुण्याः विषये किं विधानं योग्यम्?	पुनर्नवा च शालि धान्यं च / शालि च साठी च धान्यम् / ईखात् निर्मिता / औषधात् निर्मिता	पुनर्नवा च शालि धान्यं च
377	count.variant		6	मधुनः कति भेदाः सन्ति?	२ / ४ / ६ / ८	८
378	synonym		29	मधूच्छिष्टस्य पर्यायाः के?	सिक्थकः / मदनकः / मधूषितः / सर्वे	सर्वे
379	synonym		1	इक्षोः पर्यायाः के?	दीर्घच्छदः / असिपत्रः / मधुतृणः / सर्वे	सर्वे
380	count.variant		4	इक्षोः कति भेदाः सन्ति?	३ / ७ / १० / १३	१३
381	synonym.negation		1	अधः लिखितेषु कः इक्षोः पर्यायः नास्ति?	मूरिरसः / गूढमूलः / काण्डेक्षुः / असिपत्रः	काण्डेक्षुः
382			28	गुडस्य शुण्ठ्या सह अनुपानं किं कार्यं करोति?	कफनाशकः / पित्तनाशकः / वातनाशकः / किमपि न	वातनाशकः
383		1	14	मागधमानानुसारं द्रोणस्य मात्रा का?	२ आढक / ३ आढक / ४ आढक / ६ आढक	४ आढक
384		1	25	कलिङ्गमानानुसारं ८ रत्ति मात्रा का?	१ शाणः / १ माषः / १ कोलः / १ कोलः	१ माषः
385	count.variant	2	1	कषायस्य प्रकाराः कति?	३ / ५ / ७ / ९	५
386		2	5	स्वरसस्य् मात्रा का?	अर्द्धपलः / 1 पलः / सार्धैक पलः / 2 पलः	अर्द्धपलः
389		2	10	फाण्टार्थे द्रव्यस्य मात्रा का?	4 पलः / 8 पलः / 1 कुडवः / 1 प्रस्थः	1 कुडवः
390		2	12	कल्कस्य मात्रा का?	1 कर्षः / 1 पलः / 2 कर्षः / 3 पलः	1 कर्षः
391		2	11	फाण्टस्य सम्यक् मात्रा का?	1 पलः / 2 पलः / 4 पलः / 6 पलः	2 पलः
392		2	9	मन्थस्य मात्रा का?	अर्ध पलः / 1 पलः / सार्धैक पलः / 2 पलः	2 पलः
393		2	14	चूर्णस्य मात्रा का?	अर्ध कर्षः / 1 कर्षः / अर्ध पलः / 1 पलः	1 कर्षः
394		2	17	वातसम्बन्धिषु रोगेषु चूर्ण-अवलेह-वटी-कल्कैः सह अनुपानस्य मात्रा का?	1 पलः / 2 पलः / 3 पलः / 4 पलः	2 पलः
396		2	42	अवलेहेन सह उत्तमम् अनुपानं किम्?	दुग्धम् / इक्षुरसः / पञ्चमूलक्वाथः / सर्वे	सर्वे
398	count.variant	2	70	सीध्वाः प्रकाराः कति भवन्ति?	2 / 3 / 4 / न कश्चित्	2
399		2	72	वारुण्याः विषये कः नियमः उचितः ?	ताḍरसमध्ये / खर्जूररसस्य मद्य / यवेन मद्य / क-ख	क-ख
400		2		चुक्रं किं कथ्यते?	यः मद्यम् अम्लं भवेत् / अम्लं जातस्य मद्यस्य विकारेण यः संधानं कुर्यात् / गुडजलमं तैलं कन्दं शाकं च फलसंयुक्तं यः अम्लं भवेत् / सर्वे वाक्याः सत्याः	सर्वे वाक्याः सत्याः
402		3		गजपुटस्य प्रमाणं किम् अस्ति?	विंशत्यङ्गुलि / पञ्चविंशत्यङ्गुलि / त्रिंशङ्गुलि / किञ्चित् न	त्रिंशङ्गुलि
403		3	27	वराहपुटस्य प्रमाणं किम् ?	त्रिंशङ्गुलि / अरत्निमात्रा / बालिशतम् / किञ्चित् न	अरत्निमात्रा
404		3	27	कुक्कुटपुटस्य प्रमाणं किम् ?	एकबालिशतम् / एकारत्निः / सप्तदशाङ्गुलि / त्रिंशङ्गुलि	एकबालिशतम्
406	count.property	3	57	ताम्रस्य दोषाः कति?	द्वे / चत्वारि / षट् / अष्टौ	अष्टौ
407	count.variant	3	71	वङ्गस्य भेदाः कति?	षट् / पञ्च / चत्वारि / द्वे	द्वे
408		4	6	दीप्ताग्निपुरुषस्य स्नेहपानप्रमाणं  किं भवति?	एकः पलः / त्रयः कर्षाः / द्वौ कर्षौ / एकः तोलः	एकः पलः
409		4	6	मध्यमाग्निपुरुषस्य स्नेहमात्रा का?	चत्वारः कर्षाः / त्रयः कर्षाः / द्वौ कर्षौ / एकः कर्षः	त्रयः कर्षाः
410		4	6	हीनाग्निपुरूषस्य सम्यक् स्नेहमात्रा का?	4 तोला / 3 तोला / 2 तोला / 1 तोला	2 तोला
413		4	20	घृतपानानन्तरं अनुपानं किम्?	उष्ण जलम् / तैलम् / माण्डम् / यूषम्	उष्ण जलम्
414		4	20	वसा मज्जा च पीत्वा अनुपानं किम्?	शीतल जलम् / माण्डम् / तैलम् / उष्ण जलम्	माण्डम्
415		4	25	स्नेहस्य पाचनानन्तरं चिकित्सा का?	वमनम् / विरेचनम् / उष्ण जल पानम् / न किञ्चित्	उष्ण जल पानम्
416		5	25	वमनातियोगे चिकित्सा का?	पुनः वमन औषध प्रयोगः / मृदु विरेचनम् / तीक्ष्ण विरेचनम् / नस्य	मृदु विरेचनम्
418		5	85	मात्रावस्तौ स्नेहमात्रा का?	1 पल / 2 पल / उभे / न किञ्चित्	उभे
419		5		अनुवासनवस्त्यै अयोग्यः कः?	मेह रोगः / कुष्ठम् / उदर रोगः / सर्वे	सर्वे
425		5	212	मर्श-नस्यस्य मात्रा का?	2 शाण / 4 शाण / 8 शाण / 10 शाण	8 शाण
426		5	227	प्रतिमर्श-नस्यस्य मात्रा का?	अर्द्ध बिन्दु / 1 बिन्दु / 2 बिन्दु / 4 बिन्दु	2 बिन्दु
432		6	31	गण्डूषं धारयितुं चूर्णस्य मात्रा का अस्ति?	अर्ध कोल / 1 कर्ष / 1 कोल / अर्ध कर्ष	1 कोल
433		6	31	कवलं धारयितुं कल्कस्य का मात्रा गृह्णीयात्?	अर्ध कर्ष / 1 कर्ष / 2 कर्ष / 1 कोल	1 कर्ष
439		6	175	वर्त्मगतरोगेषु कियत् वाक्-शतपर्यन्तं तर्पणं कार्यम्?	100 / 500 / 600 / 700	100
441	variant	6	199	रसरूपं चूर्णरूपं वर्त्तिरूपं च एते कस्य भेदाः?	पुटपाक / तर्पण / अञ्जन / सेक	अञ्जन
443		7	1	भावप्रकाशे उक्ता रोगिणः परीक्षा केन आचार्येण उक्तपरीक्षातुल्या?	चरकः / सुश्रुतः / वाग्भट्टः / माधवः	वाग्भट्टः
11	synonym.negation	1	38	आमलकी एतेषु कस्य पर्यायः नास्ति?	शिवः / धात्रीफलम् / श्रीफलम् / कर्षफलम्	कर्षफलम्