id	hindi	sanskrit	sanskrit_corrected	Options	Answer	
1	भावप्रकाशनिघण्टु में सर्वप्रथम किस वर्ग का उल्लेख है? (क.) हरीत्क्यादि (ख.) आमलक्यादि (ग.) हरिद्रादि (घ.) गुडूच्यादि	भावप्रकाशनिघुमें प्रथमं कस्य वर्गस्य उल्लेखः अस्ति? (क.) हरीत्क्यादि (ख.) आमलक्यादि (ग.) हरिद्रादि (घ.) गुडूच्यादि	भावप्रकाशननिघण्टौ प्रथमं कस्य वर्गस्य उल्लेखः अस्ति? 	हरीत्क्यादि / आमलक्यादि / हरिद्रादि / गुडूच्यादि	हरीत्क्यादि	
2	अमृतपान के समय भगवान इन्द्र के मुख से पृथवी पर बूंद गिरने से किस द्रव्य की उतपत्ति हुयी थी? (क.) गुडूची (ख.) अभया (ग.) आमलकी (घ.) अमृतवल्ली	अमृतपानसमये भगवानः इन्द्रः मुखात् पृथिव्याम् बिन्दुः पतित्वा कस्मिन द्रव्यम् उत्पन्नम् आसीत्? (क.) गुडूची (ख.) अभया (ग.) आमलकी (घ.) अमृतवल्ली	अमृतपानसमये भगवतः इन्द्रस्य मुखात् पृथिव्याम् बिन्दुः पतित्वा किं द्रव्यम् उत्पन्नम् आसीत्? 	गुडूची / अभया / आमलकी / अमृतवल्ली	अभया	
4	हरीतकी के कितने प्रकार बताए गए है? (क.) 3 (ख.) 5 (ग.) 7 (घ.) 2	हरीतक्याः कति प्रकाराः उक्ताः? (क.) ३ (ख.) ५ (ग.) ७ (घ.) २	हरीतक्याः कति प्रकाराः उक्ताः?	३ / ५ / ७ / २	७	
5	कौन से प्रकार की हरीतकी प्रत्येक स्थान पर पाई जाती है? (क.) विजया (ख.) चेतकी (ग.) अभया (घ.) रोहिणी	कः प्रकारः हरीतक्याः सर्वत्र उपलभ्यते? (क.) विजया (ख.) चेतकी (ग.) अभया (घ.) रोहिणी	कः प्रकारः हरीतक्याः सर्वत्र उपलभ्यते? 	विजया / चेतकी / अभया / रोहिणी	रोहिणी	
6	हरीतकी में कितने रस होते हैं? (क.) 3 (ख.) 4 (ग.) 5 (घ.) 6	हरीतक्याम् कति रसाः वर्तन्ते? (क.) ३ (ख.) ४ (ग.) ५ (घ.) ६	हरीतक्यां कति रसाः वर्तन्ते? 	३ / ४ / ५ / ६	५	
7	श्रेष्ठ हरीतकी का भार (वजन) कितना होना चाहिए? (क.) 1 कर्ष (ख.) 2 कर्ष (ग.) 3 कर्ष (घ.) 1 तोला	उत्तमहरीतक्याः भारः कियत् भवेत्? (क.) १ कर्षः (ख.) २ कर्षः (ग.) ३ कर्षः (घ.) १ तोलः	उत्तमहरीतक्याः भारः कियान् भवेत्?	१ कर्षः / २ कर्षः / ३ कर्षः / १ तोलः	२ कर्षः	
9	विभीतक निम्न में से किसका पर्याय है? (क.) कलिदूम (ख.) भूतवास (ग.) कलियुगालय (घ.) सभी	विभीतकस्य पर्यायः कः अस्ति? (क.) कलिदूमः (ख.) भूतवासः (ग.) कलियुगालयः (घ.) सर्वे	विभीतकस्य पर्यायः कः अस्ति? 	कलिदूमः / भूतवासः / कलियुगालयः / सर्वे	सर्वे	
10	आमलकी निम्न में से किसका पर्याय है? (क.) वयस्या (ख.) वृष्या (ग.) जातीफलरसा (घ.) सभी	आमलक्याः पर्यायः कः अस्ति? (क.) वयस्या (ख.) वृष्या (ग.) जातीफलरसः (घ.) सर्वे	आमलक्याः पर्यायः कः अस्ति? 	वयस्या / वृष्या / जातीफलरसः / सर्वे	सर्वे	
12	यह किसके बारे में कहा गया है - हरीतकीसमं ......रक्तपित्तप्रमेहघ्नं परं वृष्य रसायनम् ।? (क.) विभीतक (ख.) आमलकी (ग.) गुडूची (घ.) अभया	एतत् कस्य विषये उक्तम् अस्ति - हरीतकिसमं ......रक्तपित्तप्रमेहघ्नं परं वृष्य रसायनम्। (क.) विभीतकः (ख.) आमलकी (ग.) गुडूची (घ.) अभया	एतत् कस्य विषये उक्तम् अस्ति - "हरीतकिसमं ......रक्तपित्तप्रमेहघ्नं परं वृष्यं रसायनम्। "	विभीतकः / आमलकी / गुडूची / अभया	आमलकी	
13	वरा निम्न में से किसका पर्याय है? (क.) हरिद्रा (ख.) गुडूची (ग.) आमलकी (घ.) त्रिफला	वरा कस्मिन पर्यायः अस्ति? (क.) हरिद्रा (ख.) गुडूची (ग.) आमलकी (घ.) त्रिफला	वरा कस्य पर्यायः अस्ति? 	हरिद्रा / गुडूची / आमलकी / त्रिफला	त्रिफला	
14	शुण्ठी निम्न में से किसका पर्याय है? (क.) विश्वा (ख.) महौषध (ग.) श्रृंगवेर (घ.) सभी	शुण्ठीः केषां पर्यायः अस्ति? (क.) विश्वा (ख.) महौषधः (ग.) श्रृंगवेरः (घ.) सर्वे	शुण्ठीः कस्य पर्यायः अस्ति? 	विश्वा / महौषधः / श्रृंगवेरः / सर्वे	सर्वे	
15	पिप्पली निम्न में से किसका पर्याय है? (क.) कणा (ख.) वैदेही (ग.) तीक्ष्णतण्डुला (घ.) सभी	पिप्पली केषां पर्यायः अस्ति? (क.) कणा (ख.) वैदेही (ग.) तीक्ष्णतण्डुला (घ.) सर्वे	पिप्पली कस्य पर्यायः अस्ति?	कणा / वैदेही / तीक्ष्णतण्डुला / सर्वे	सर्वे	
16	पिप्पली निम्न में से किसका पर्याय है? (क.) मागधी (ख.) कृष्णा (ग.) चपला (घ.) सभी	पिप्पली केषां पर्यायः अस्ति? (क.) मागधी (ख.) कृष्णा (ग.) चपला (घ.) सर्वे	पिप्पली कस्य पर्यायः अस्ति? 	मागधी / कृष्णा / चपला / सर्वे	सर्वे	
17	मरिच निम्न में से किसका पर्याय है? (क.) कृष्ण (ख.) धर्मपतन (ग.) वेल्लज (घ.) सभी	मरिचः केषां पर्यायः अस्ति? (क.) कृष्णः (ख.) धर्मपतनः (ग.) वेल्लजः (घ.) सर्वे	मरीचः कस्य पर्यायः अस्ति? 	कृष्णः / धर्मपतनः / वेल्लजः / सर्वे	सर्वे	
18	मरिच निम्न में से किसका पर्याय नहीं है? (क.) कृष्णा (ख.) ऊषण (ग.) कृष्ण (घ.) वेल्लज	मरिचः केषां पर्यायः नास्ति? (क.) कृष्णा (ख.) ऊषणः (ग.) कृष्णः (घ.) वेल्लजः	मरीचःकस्य पर्यायः नास्ति? 	कृष्णा / ऊषणः / कृष्णः / वेल्लजः	कृष्णा	
19	व्योष निम्न में से किसका पर्याय है? (क.) त्रिकटु (ख.) त्रयूषण (ग.) कटुत्रिक (घ.) सभी	व्योषः केषां पर्यायः अस्ति? (क.) त्रिकटु (ख.) त्रयूषणः (ग.) कटुत्रिकः (घ.) सर्वे	व्योषः कस्य पर्यायः अस्ति? 	त्रिकटु / त्रयूषणः / कटुत्रिकः / सर्वे	सर्वे	
20	चटकाशिर निम्न में से किसका पर्याय है? (क.) शुण्ठी (ख.) काकानासा (ग.) पिप्लीमूल (घ.) भल्लातक	चटकाशिरः केषां पर्यायः अस्ति? (क.) शुण्ठी (ख.) काकानासा (ग.) पिप्लीमूलः (घ.) भल्लातकः	चटकाशिरः कस्य पर्यायः अस्ति? 	शुण्ठी / काकानासा / पिप्लीमूलः / भल्लातकः	पिप्लीमूलः	
27	अजमोदा निम्न में से किसका पर्याय है? (क.) खराश्वा (ख.) मायूरो (ग.) ब्रह्मकुशा (घ.) सभी	अजमोदा केषां पर्यायः अस्ति? (क.) खराश्वः (ख.) मायूरः (ग.) ब्रह्मकुशा (घ.) सर्वे	अजमोदा कस्य पर्यायः अस्ति? 	खराश्वः / मायूरः / ब्रह्मकुशा / सर्वे	सर्वे	
29	कुस्तुम्बरू निम्न में से किसका पर्याय है? (क.) धान्यक (ख.) जीरक (ग.) यवानी (घ.) अजमोदा	कुस्तुम्बरू केषां पर्यायः अस्ति? (क.) धान्यकः (ख.) जीरकः (ग.) यवानी (घ.) अजमोदा	कुस्तुम्बरू कस्य पर्यायः अस्ति? 	धान्यकः / जीरकः / यवानी / अजमोदा	धान्यकः	
30	मेथी निम्न में से किसका पर्याय है? (क.) बहुपत्रिका (ख.) बहुबीजा (ग.) बहुपर्णी (घ.) सभी	मेथिका केषां पर्यायः अस्ति? (क.) बहुपत्रिका (ख.) बहुबीजा (ग.) बहुपर्णी (घ.) सर्वे	मेथिका कस्य पर्यायः अस्ति? 	बहुपत्रिका / बहुबीजा / बहुपर्णी / सर्वे	सर्वे	
31	मेथी निम्न में से किसका पर्याय है? (क.) ज्योति (ख.) पीतबीजा (ग.) मुनिच्छदा (घ.) सभी	मेथिका अनेन शुष्कणस्य पर्यायः कः अस्ति? (क.) ज्योतिः (ख.) पीतबीजः (ग.) मुनिच्छदा (घ.) सर्वे	मेथिका अधस्तनेषु कस्य पर्यायः अस्ति?	ज्योतिः / पीतबीजः / मुनिच्छदा / सर्वे	सर्वे	
32	पशुमेहनकारिका निम्न में से किसका पर्याय है? (क.) मेथिका (ख.) जीरक (ग.) चन्द्रशूर (घ.) अजमोदा	पशुमेहनकारिका अनेन शोषणस्य पर्यायः कः अस्ति? (क.) मेथिका (ख.) जीरकम् (ग.) चन्द्रशूरः (घ.) अजमोदा	पशुमेहनकारिका अनेन शोषणस्य पर्यायः कः अस्ति?  	मेथिका / जीरकम् / चन्द्रशूरः / अजमोदा	चन्द्रशूरः	
33	हींग निम्न में से किसका पर्याय नहीं है? (क.) सहस्रवेधि (ख.) रामठ (ग.) वाहलीक (घ.) कोई नहीं	हींगी अनेन शोषणस्य पर्यायः कः न अस्ति? (क.) सहस्रवेधि (ख.) रामठ (ग.) वाहलीक (घ.) न कश्चन	हींगी अधस्तनेषु कस्य पर्यायः कः न अस्ति?	सहस्रवेधि / रामठ / वाहलीक / न कश्चन	न कश्चन	अत्र आरभध्वम्
36	चोपचीनी का वर्णन भावप्रकाश ने किस वर्ग में किया है? (क.) कर्पूरादि वर्ग (ख.) गुडूच्यादि वर्ग (ग.) हरीतक्यादि वर्ग (घ.) पुष्प वर्ग	चोपचीनी वर्णनं भावप्रकाशस्य कस्मिन वर्गे कृतम् अस्ति? (क.) कर्पूरादि वर्गः (ख.) गुडूच्यादि वर्गः (ग.) हरीतक्यादि वर्गः (घ.) पुष्प वर्गः	चोपचीनीवर्णनं भावप्रकाशस्य कस्मिन वर्गे कृतम् अस्ति?	कर्पूरादिवर्गः / गुडूच्यादिवर्गः / हरीतक्यादिवर्गः / पुष्पवर्गः	हरीतक्यादिवर्गः	
37	वायविडङ्ग निम्न में से किसका पर्याय है? (क.) कृमिघ्न (ख.) चित्रतण्डुल (ग.) जन्तुनाशन (घ.) सभी	वायविडङ्ग अनेन शोषणस्य पर्यायः कः अस्ति? (क.) कृमिघ्न (ख.) चित्रतण्डुल (ग.) जन्तुनाशन (घ.) सर्वे	वायविडङ्ग अधस्तनेषु कस्य पर्यायः  अस्ति?	कृमिघ्नस्य / चित्रतण्डुलस्य / जन्तुनाशनस्य / सर्वेषाम्	सर्वेषाम्	
38	तुगाक्षिरी निम्न में से किसका पर्याय है? (क.) वंशलोचन (ख.) वायविहङ्ग (ग.) द्वीपांतर बचा (घ.) लवंग	त्वगाक्षिरी अनेन शोषणस्य पर्यायः कः अस्ति? (क.) वंशलोचन (ख.) वायविहङ्ग (ग.) द्वीपांतर बचा (घ.) लवंग	त्वगाक्षिरी अधस्तनेषु कस्य पर्यायः अस्ति?	वंशलोचनस्य / वायविहङ्गस्य / द्वीपांतर बचा / लवङ्गस्य	वंशलोचनस्य	
39	क्लोतनक निम्न में से किसका पर्याय है? (क.) हरिद्रा (ख.) यष्टीमधु (ग.) मधुक (घ.) सारिवा	क्लोतंक अनेन शोषणस्य पर्यायः कः अस्ति? (क.) हरिद्रा (ख.) यष्टिमधु (ग.) मधुक (घ.) सारिवा	क्लोतंक अनेन शोषणस्य पर्यायः कः अस्ति?	हरिद्रा / यष्टिमधु / मधुक / सारिवा	यष्टिमधु	
40	आरंगवध निम्न में से किसका पर्याय नहीं है? (क.) शम्पाक (ख.) व्याधिधात (ग.) रोचन (घ.) कर्णिकार	आरग्वधः अनेन शोषणस्य पर्यायः कः न अस्ति? (क.) शम्पाकः (ख.) व्याधिधातः (ग.) रोचन (घ.) कर्णिकारः	आरग्वधः अधस्तनेषु कस्य पर्यायः न अस्ति?	शम्पाकस्य / व्याधिधातस्य / रोचनस्य / कर्णिकारस्य	कर्णिकारस्य	
41	कुटकी निम्न में से किसका पर्याय है? (क.) कृष्णभेदा (ख.) करम्भरा (ग.) शुक्लादनी (घ.) सभी	कुटकी अनेन शोषणस्य पर्यायः कः अस्ति? (क.) कृष्णभेदा (ख.) करम्भरा (ग.) शुक्लादनी (घ.) सर्वे	कुटकी अधस्तनेषु कस्य पर्यायः अस्ति?	कृष्णभेदायाः / करम्भरायाः / शुक्लादन्याः / सर्वेषाम्	सर्वेषाम्	
42	मत्स्यपित्ता निम्न में से किसका पर्याय है? (क.) कुटकी (ख.) मधुयष्टि (ग.) आरग्वध (घ.) मण्डूकी	मत्स्यपित्ता अनेन शोषणस्य पर्यायः कः अस्ति? (क.) कुटकी (ख.) मधुयष्टिः (ग.) आरग्वधः (घ.) मण्डूकी	मत्स्यपित्ता अधस्तनेषु कस्य पर्यायः अस्ति?	कुटक्याः / मधुयष्ट्याः / आरग्वधस्य / मण्डूक्याः	कुटक्याः	
43	किराततिक्त निम्न में से किसका पर्याय है? (क.) कटुरोहिणी (ख.) तिक्ता (ग.) कटुका (घ.) काण्डतिक्त	किराततिक्तः एतेषु कस्मिन् पर्यायः अस्ति? (क.) कटुरोहिणी (ख.) तिक्ता (ग.) कटुका (घ.) काण्डतिक्त	किराततिक्तः एतेषु कस्य पर्यायः अस्ति?	कटुरोहिण्याः / तिक्तायाः/ कटुकायाः / काण्डतिक्तायाः	काण्डतिक्तायाः	
44	विषपुष्पक निम्न में से किसका पर्याय है? (क.) मदनफल (ख.) अर्क (ग.) लाङगली (घ.) करवीर	विषपुष्पकः एतेषु कस्मिन् पर्यायः अस्ति? (क.) मदनफल (ख.) अर्क (ग.) लाङगली (घ.) करवीर	विषपुष्पकः एतेषु कस्य पर्यायः अस्ति?	मदनफलस्य / अर्कस्य / लाङगल्याः / करवीरस्य	मदनफलस्य	
45	मदनफल निम्न में से किसका पर्याय है? (क.) छर्दन (ख.) नट (ग.) शल्यक (घ.) सभी	मदनफलः एतेषु कस्मिन् पर्यायः अस्ति? (क.) छर्दन (ख.) नट (ग.) शल्यक (घ.) सर्वे	मदनफलम् एतेषु कस्य पर्यायः अस्ति?	छर्दनस्य / नटस्य / शल्यकस्य / सर्वेषाम्	सर्वेषाम्	
46	रास्ना निम्न में से किसका पर्याय नहीं है? (क.) युक्तरसा (ख.) एलापर्णी (ग.) श्रेयसी (घ.) रामसेनक	रास्ना एतेषु कस्मिन् पर्या्यः न अस्ति? (क.) युक्तरसा (ख.) एलापर्णी (ग.) श्रेयसी (घ.) रामसेनक	रास्ना एतेषु कस्य पर्यायः न अस्ति?	युक्तरसायाः / एलापर्ण्याः / श्रेयस्याः / रामसेनकस्य	रामसेनकस्य	
48	पारावतपदी निम्न में से किसका पर्याय है? (क.) मालकांगनी (ख.) रास्ना (ग.) गुडुची (घ.) ब्रह्मी	पारावतपदी एतेषु कस्मिन् पर्या्यः अस्ति? (क.) मालकाङ्गनी (ख.) रास्ना (ग.) गुडुची (घ.) ब्रह्मी	पारावतपदी एतेषु कस्य पर्या्यः अस्ति?	मालकाङ्गन्याः / रास्नायाः / गुडुच्याः / ब्रह्म्याः	मालकाङ्गन्याः	
49	चोक किस द्रव्य की मूल को कहते है? (क.) शालपर्णी (ख.) कुटज (ग.) सत्यानाशी (घ.) वचा	चोकः कस्य द्रव्यस्य मूलं कथ्यते? (क.) शालपर्णी (ख.) कुटजः (ग.) सत्यानाशी (घ.) वचा	चोकः कस्य द्रव्यस्य मूलं कथ्यते?	शालपर्ण्याः / कुटजस्य / सत्यानाश्याः / वचायाः	सत्यानाश्याः	
51	ब्राह्मणयष्टिका निम्न में से किसका पर्याय है? (क.) यष्टीमधु (ख.) धातकी (ग.) भारङगी (घ.) कायफल	ब्राह्मणयष्टिका एतेषु कस्मिन् पर्या्यः अस्ति? (क.) यष्टीमधु (ख.) धातकी (ग.) भारङ्गी (घ.) कायफल	ब्राह्मणयष्टिका एतेषु कस्य पर्यायः अस्ति?	यष्टीमधुनः/ धातक्याः / भारङ्ग्याः / कायफलस्य	भारङ्ग्याः	
52	कट्फल निम्न में से किसका पर्याय नहीं है? (क.) कैटर्य (ख.) अङगारवल्ली (ग.) श्रीपर्णिका (घ.) भद्रवती	कट्फलः एतेषु कस्मिन् पर्या्यः न अस्ति? (क.) कैटेर्य (ख.) अङ्गारवल्ली (ग.) श्रीपर्णिका (घ.) भद्रवती	कट्फलः एतेषु कस्य पर्यायः न अस्ति?	कैटेर्यस्य / अङ्गारवल्ल्याः / श्रीपर्णिकायाः / भद्रवत्याः	अङ्गारवल्ल्याः	
53	धातकी निम्न में से किसका पर्याय नहीं है? (क.) ताम्रपुष्पी (ख.) कुन्जरा (ग.) भद्रा (घ.) बह्मिज्वाला	धातकी एतेषु कस्मिन् पर्या्यः न अस्ति? (क.) ताम्रपुष्पी (ख.) कुन्जरा (ग.) भद्रा (घ.) ब्रह्मिज्वाला	धातकी एतेषु कस्य पर्यायः न अस्ति?	ताम्रपुष्प्याः / कुन्जरायाः / भद्रायाः / ब्रह्मिज्वालायाः	भद्रायाः	
54	भावप्रकाश के अनुसार मण्डूकपर्णी निम्न में से किसका पर्याय है? (क.) मण्डूकी (ख.) ब्रहमी (ग.) मन्जिष्ठा (घ.) क और ख	भावप्रकाशस्य अनुसारं मण्डूकपर्णी एतेषु कस्मिन् पर्या्यः अस्ति? (क.) मण्डूकी (ख.) ब्रह्मी (ग.) मञ्जिष्ठा (घ.) क च ख	भावप्रकाशानुसारं मण्डूकपर्णी एतेषु कस्य पर्यायः अस्ति?	मण्डूक्याः / ब्रह्म्याः / मञ्जिष्ठा / क च ख	क च ख	
55	मञ्जिष्ठा निम्न में से किसका पर्याय नहीं है? (ख.) मण्डूकपर्णी (क.) योजनवल्ली (ग.) रक्तयष्ठिका (घ.) भद्रवती	मञ्जिष्ठा एतेषु कस्मिन्न पर्यार्थः नास्ति? (ख.) मण्डूकपर्णी (क.) योजनवल्ली (ग.) रक्तयष्टिका (घ.) भद्रवती	मञ्जिष्ठा एतेषु कस्य पर्यायः नास्ति?	मण्डूकपर्ण्याः / योजनवल्ल्याः / रक्तयष्टिकायाः / भद्रवत्याः	भद्रवत्याः	
56	विशेषाद्वयङ्गनाशनः निम्न में से किसका कर्म है? (क.) अलक्तक (ख.) शाल्मली (ग.) मधुयष्ठि (घ.) नीम	विशेषाद्वयङ्गनाशनः एतेषु कस्मिन् कर्म अस्ति? (क.) अलक्तक (ख.) शाल्मली (ग.) मधुयष्टि (घ.) नीम	विशेषाद्वयङ्गनाशनः एतेषु कस्य कर्म अस्ति?	अलक्तकस्य / शाल्मल्याः / मधुयष्ट्याः / नीमस्य	अलक्तकस्य	
57	पलङ्कषा निम्न में से किसका पर्याय है? (क.) मण्डूकपर्णी (ख.) लाक्षा (ग.) गुगुल (घ.) बह्मी	पलङ्कषा एतेषु कस्मिन पर्यायः अस्ति? (क.) मण्डूकपर्णी (ख.) लाक्षा (ग.) गुगुल (घ.) बह्मी	पलङ्कषा एतेषु कस्य पर्यायः अस्ति?	मण्डूकपर्ण्याः / लाक्षायाः / गुगुलस्य / बह्म्याः	लाक्षायाः	
58	हरिद्रा निम्न में से किसका पर्याय नहीं है? (क.) निशाऽऽख्या (ख.) योषितप्रिया (ग.) हटविलासनी (घ.) भद्रा	हरिद्रा एतेषु कस्मिन्नपर्यार्थः नास्ति? (क.) निशाऽऽख्या (ख.) योषितप्रिया (ग.) हटविलासनी (घ.) भद्रा	हरिद्रा एतेषु कस्य पर्यायः नास्ति?	निशाऽऽख्यायाः / योषितप्रियायाः / हटविलासन्याः / भद्रायाः	भद्रायाः	
59	हरिद्रा निम्न में से किसका पर्याय है? (क.) काच्चनी (ख.) पीता (ग.) वरवर्णिनी (घ.) सभी	हरिद्रा एतेषु कस्मिन पर्यायः अस्ति? (क.) काच्चनी (ख.) पीता (ग.) वरवर्णिनी (घ.) सर्वे	हरिद्रा एतेषु कस्य पर्यायः अस्ति?	काच्चन्याः / पीतायाः / वरवर्णिन्याः / सर्वेषाम्	सर्वेषाम्	
60	कर्पूर हरिद्रा की गन्ध किसके समान होती है? (क.) आम्र (ख.) कर्पूर (ग.) एला (घ.) रसोन	कर्पूर हरिद्रायाः गन्धः कस्मिन तुल्यः अस्ति? (क.) आम्र (ख.) कर्पूर (ग.) एला (घ.) रसोन	कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति?	आम्रेण / कर्पूरेण / एलया / रसोनेन	आम्रेण	
61	सुरभी दारू निम्न में से किसका पर्यायं है? (क.) दारूहल्दी (ख.) हरिद्रा (ग.) कर्पूरहरिद्रा (घ.) तेजोहवा	सुरभी दारू एतेषु कस्मिन पर्यायः अस्ति? (क.) दारूहल्दी (ख.) हरिद्रा (ग.) कर्पूरहरिद्रा (घ.) तेजोहवा	सुरभीदारु एतेषु कस्य पर्यायः अस्ति?	दारूहल्द्याः / हरिद्रायाः / कर्पूरहरिद्रायाः / तेजोहवायाः	कर्पूूरहरिद्रायाः	
62	कुष्ठवातस्त्रनाशन निम्न में से किसका गुण है? (क.) कर्पूरहरिद्रा (ख.) हरिद्रा (ग.) अरण्य हरिद्रा (घ.) दारूहल्दी	कुष्ठवातस्त्रनाशनः एतेषु कस्मिन गुणः अस्ति? (क.) कर्पूरहरिद्रा (ख.) हरिद्रा (ग.) अरण्य हरिद्रा (घ.) दारूहल्दी	कुष्ठवातस्त्रनाशनः एतेषु कस्य गुणः अस्ति?	कर्पूरहरिद्रायाः / हरिद्रायाः / अरण्यहरिद्रायाः / दारूहल्द्याः	अरण्यहरिद्रायाः	
63	दारूहल्दी निम्न में से किसका पर्याय है? (क.) पर्जन्या (ख.) कटङकटेरी (ग.) पचम्पचा (घ.) सभी	दारूहल्दी एतेषु कस्मिन पर्यायः अस्ति? (क.) पर्जन्या (ख.) कटङकटेरी (ग.) पचम्पचा (घ.) सर्वे	दारूहल्दी एतेषु कस्य पर्यायः अस्ति?	पर्जन्यायाः / कटङ्कटेर्याः / पचम्पचायाः / सर्वेषाम्	सर्वेषाम्	
64	"निशागुणा किन्तु नेत्र कर्णास्यरोगानुत" किसके बारे में कहा गया है? (क.) हरिद्रा (ख.) दारूहरिद्रा (ग.) अरण्य हरिद्रा (घ.) कर्पूर हरिद्रा	"निशागुणा किन्तु नेत्र कर्णास्यरोगानुत" एतेषु विषये कस्मिन् उक्तं अस्ति? (क.) हरिद्रा (ख.) दारूहरिद्रा (ग.) अरण्य हरिद्रा (घ.) कर्पूर हरिद्रा	"निशागुणा किन्तु नेत्र कर्णास्यरोगानुत" अत्र कस्य विषये उक्तम् अस्ति?	हरिद्रायाः / दारूहरिद्रायाः / अरण्यहरिद्रायाः / कर्पूरहरिद्रायाः	अरण्यहरिद्रायाः	
65	"...... तत् नेत्रयों परम् हितम्।" किसके बारे में कहा गया है? (क.) मुदग (मूंग) (ख.) रसांजन (ग.) गाजर (घ.) आमलकी	"...... तत् नेत्रयोः परं हितम्।" कस्य विषये उक्तं अस्ति? (क.) मुद्गः (ख.) रसांजनः (ग.) गृञ्जनः (घ.) आमलकः	"...... तत् नेत्रयोः परं हितम्।" कस्य विषये उक्तम् अस्ति?	मुद्गस्य / रसांजनस्य / गृञ्जनस्य / आमलकस्य	गृञ्जनस्य	
66	तार्थ्यशैल, रसगर्भ व तार्क्ष्यज किसके पर्याय है? (क.) रसांजन (ख.) हरिद्रा (ग.) शिलाजीत (घ.) मुक्ताशुक्ति	तार्थ्यशैलः, रसगर्भः व तार्क्ष्यजः कस्य पर्यायाः? (क.) रसांजनः (ख.) हरिद्रा (ग.) शिलाजीत् (घ.) मुक्ताशुक्तिः	तार्थ्यशैलः, रसगर्भः, तार्क्ष्यजः च कस्य पर्यायाः सन्ति?	रसांजनस्य / हरिद्रायाः / शिलाजीतः / मुक्ताशुक्त्याः	रसाञ्जनस्य	
